Sample_ID	lib_type	seq_reads_pairs	seq_retained_reads	seq_retained_nts	seq_retained_length	hits_raw	hits_raw_frac	hits_clonality	hits_unique	hits_unique_frac	hits_coverage	hits_length
Crotone498	PE	57034176	107037097	10932645079	102.13884144298122	91847215	0.8580876871128147	0.01513822710900925	90456811	0.8450977608258565	8.62068002691225	99.37296527068592
Crotone500	PE	48161411	89820163	9176576365	102.16610679052097	75983412	0.8459505022274342	0.02242814523780534	74279245	0.826977401499483	7.069051942473996	99.23427211733237
Crotone501	PE	53743748	99907158	10252391646	102.61919016853628	84921346	0.850002619431933	0.016366485759658156	83531482	0.8360910636653281	7.989840944013557	99.73691794430272
Crotone502	PE	52261135	97811951	10000084456	102.23785901172751	82316592	0.8415801050732543	0.017201829735613905	80900596	0.827103387396904	7.699938440754255	99.24383281428483
Crotone505	PE	46719200	87131215	8930126752	102.49055693760268	73858667	0.8476717213228347	0.016517045995428026	72638740	0.8336706885127219	6.931925908063609	99.50699387131439
Crotone510	PE	47122866	88793273	9036319953	101.76806922073928	73104373	0.8233098131206403	0.02241597776920956	71465667	0.8048545186525561	6.747887385141906	98.45513479920365
Crotone512	PE	51989884	96117351	9904568835	103.04662719013136	80876781	0.841437889814504	0.016354582658278605	79554075	0.8276765242937251	7.630384364776538	100.01196983309781
Crotone514	PE	53265978	99586612	10195337073	102.37658323992386	84949344	0.8530197211649293	0.016976246455770116	83507223	0.8385386481468011	7.971990189783352	99.54299659803081
Crotone517	PE	54453092	101650583	10441784040	102.72232319611979	87262743	0.8584578703301682	0.015901574398136886	85875128	0.8448070386374469	8.232452930398948	99.96083041646237
Crotone518	PE	58702491	109535906	11203359764	102.28024921800528	93055922	0.8495471977928406	0.021099570643123622	91092482	0.8316221166783428	8.682688093707103	99.38930671578363
FR041	PE	101413989	116011356	22603976427	194.8427913126022	97038247	0.8364547260356133	0.17567678237221251	79990880	0.6895090511656462	14.42773737177826	188.07269597484114
FR044	PE	121509915	143663307	28079905665	195.4563503469957	120255045	0.8370616513790818	0.07370856665514536	111391218	0.7753630368539407	20.190275929526642	188.99890933053626
FR046	PE	131522526	151110434	29536437905	195.46259727504986	120243773	0.7957344163275979	0.13560518431170654	103938094	0.6878287041383258	18.818470170914022	188.78938116760156
FR048	PE	121729938	138848164	27281736496	196.4861162730247	116624779	0.8399446967120141	0.07133582649704318	108305254	0.7800265475602544	19.740578384775773	190.05458194114942
FR049	PE	128688028	149662360	29171465287	194.91517631420484	111761743	0.7467591918235152	0.1481697721911871	95202031	0.63611205248935	17.20879935381891	188.48307301343183
FR050	PE	121107097	135889116	26565099421	195.49100180326437	112468006	0.8276454311469654	0.17588449109696136	92686628	0.6820754356809562	16.7854976377121	188.83614901817336
FR051	PE	90579197	104803618	20602079524	196.57794184166428	86024839	0.8208193633162549	0.16343729512821292	71965172	0.6866668667869844	13.070089208730327	189.3756692195497
FR061	PE	92109252	107238132	21082281938	196.5931478366296	90543758	0.8443242745034014	0.15767524250539722	76267249	0.711195239767884	13.879318636680027	189.75711167974606
FR063	PE	121624365	137449518	27063195623	196.8955294772296	116414265	0.8469601544910474	0.1277031040826483	101547802	0.7388007137282213	18.52683330485287	190.23860947773147
FR064	PE	104361771	124394841	24285982592	195.23303697136444	104745492	0.8420404830132786	0.15156826033143267	88869400	0.7144138718743167	16.049483571057475	188.31148620335009
Guglionesi_336	PE	66138654	126693891	12346496749	97.45139762895118	108628700	0.8574107176170002	0.016872483975229335	106795864	0.8429440690238175	9.74814926255473	95.1778156127844
Guglionesi_426	PE	75781300	146759616	14078329374	95.92781555111182	126592298	0.8625826467139298	0.01449386754950921	124757486	0.850080488081953	11.232922606505493	93.88455420623016
Guglionesi_427	PE	63574391	122880645	11700717479	95.22018279607826	105004668	0.8545256903558733	0.01611947385043877	103312048	0.8407511858356538	9.21178357959581	92.97383641063819
Guglionesi_428	PE	65616808	127249615	12200702384	95.88007306741164	108684742	0.854106647002429	0.016235176783140348	106920226	0.8402400745966894	9.626778436564715	93.8834639107478
Guglionesi_429	PE	69185253	134309314	13095748475	97.50439552539149	114345516	0.8513595416026025	0.02124829276208784	111915869	0.8332696048168334	10.254278274361644	95.53916121582365
Guglionesi_431	PE	74334464	139980968	13936447163	99.55958557880525	119250042	0.8519018242537085	0.016513361060283782	117280823	0.8378340618418927	10.976003942447855	97.58548971812723
Guglionesi_432	PE	62643831	120879386	11770287543	97.37216520110385	102408612	0.8471966593212179	0.01603800664733157	100766182	0.8336093136674272	9.20634851631981	95.26658653197757
Guglionesi_433	PE	71728725	135078577	13380683862	99.05851956080349	114402250	0.8469311162494702	0.015757915600436156	112599509	0.8335852472002278	10.474869396546355	97.00187219288851
Guglionesi_434	PE	69965910	136038827	13594748951	99.93285924907306	117462332	0.8634471098460735	0.015940786872850388	115589890	0.8496830834920386	10.813260995547722	97.54495922610533
Guglionesi_435	PE	71365090	137960984	13394401262	97.08832797249401	117958294	0.8550119793288804	0.01501716360869032	116186895	0.8421721245479085	10.577217131364467	94.92536385450356
KAZ14001	PE	102488210	188470434	19058731669	101.12319086080102	158897818	0.8430914845773635	0.021158434032114926	155535789	0.8252529890178955	14.67058157566859	98.3524064291081
KAZ14003	PE	59858431	108097098	11013870538	101.88867917619768	86279338	0.798165164433924	0.030089567910221993	83683230	0.774148719515116	7.8812671853126135	98.20319387767418
KAZ14032	PE	67304222	124297894	12583883037	101.239712371957	103414642	0.8319902990472228	0.021399996723868164	101201569	0.8141857093733221	9.539592883675581	98.29028439272517
KAZ14035	PE	80894484	148028921	15031363685	101.54342532159644	123628927	0.8351673859731775	0.026734115390324442	120323817	0.8128399247063349	11.374380635079804	98.56986312194535
KAZ14053	PE	66915860	124082899	12575461047	101.3472537178552	105447875	0.8498179511424858	0.018974872656276842	103447015	0.8336927637385391	9.780701439664425	98.58708712861362
KAZ14054	PE	72322765	133677424	13540358852	101.29129098119066	112590034	0.8422516729526446	0.020302756103617536	110304146	0.8251516426588232	10.414739192149712	98.45200353575105
KAZ14055	PE	71811795	132945876	13454977635	101.20643106672973	112752420	0.8481076915842053	0.02084068794266236	110402582	0.8304325438421272	10.423840401104993	98.45018109268496
KAZ14057	PE	63651859	118329374	11931228109	100.8306535028234	100022521	0.8452890235014681	0.018967028435526	98125391	0.8292564025564777	9.228827234669378	98.06930829962246
KAZ14059	PE	66067173	121901422	12359280139	101.38749767004359	101096519	0.8293301041229856	0.022632371743679935	98808465	0.8105603969082493	9.320906791279084	98.36305504796577
KAZ14061	PE	69919921	128756269	13083504388	101.6145038188393	107700535	0.8364682810123987	0.02102037840387705	105436629	0.8188854012226775	9.980545932442276	98.70309748806555
Lesina_280	PE	84704124	163298853	16215833266	99.30157480040597	137670078	0.8430560011343129	0.019235443449084122	135021933	0.8268394451000829	12.53329618794382	96.7896631430984
Lesina_281	PE	69577368	133510765	13264436925	99.35106674731435	113055213	0.8467872459572829	0.017352256016712864	111093450	0.832093576873745	10.28469255107904	96.53190036856358
Lesina_282	PE	65896630	125457434	12621777738	100.60605685590541	106734543	0.850763000620593	0.017563433049036403	104859918	0.8358206816185958	9.855311978973914	98.00062818092229
Lesina_285	PE	62333255	119465639	11558235295	96.74945358137666	99931526	0.8364876029332585	0.018532920231799532	98079503	0.8209850449132072	8.835709085369526	93.9358021522601
Lesina_286	PE	69659151	132709931	12941359465	97.51613438032757	111347654	0.8390303058781637	0.02122685943612246	108984093	0.8212203275126411	9.944615244682641	95.14651095917273
Lesina_287	PE	72351686	137736933	13549070675	98.36919103607454	116232816	0.8438754476985486	0.02204738806293738	113670186	0.8252701982263537	10.509792842388784	96.40855677846784
Lesina_288	PE	65207426	124558178	11996324820	96.31101716982405	104304610	0.8373967223573229	0.017828224466780562	102445044	0.8224674256233903	9.260069172137651	94.25215178784052
Lesina_289	PE	65038254	123900744	11925126711	96.24741810267096	103225255	0.8331286130130098	0.01861323568539497	101303899	0.8176213937827524	9.126397990968057	93.93798484498608
Lesina_292	PE	75022777	142260054	13726095369	96.4859423503382	117481728	0.8258237270175646	0.019635453438342387	115174921	0.8096083036774329	10.41362781208728	94.27838299103327
Lesina_295	PE	65578691	126543542	12622384515	99.74736217672807	105889819	0.8367856417358699	0.02039254595382778	103730456	0.8197214520832679	9.646263559418365	96.96630197017546
PD22NLD0146F	PE	37494009	63795007	10583493669	165.89846395032137	53020396	0.831105732146091	0.32495472119823476	35791168	0.5610340006703033	5.443029298901338	158.57429791059067
PD22NLD0147F	PE	35497977	63103968	10114544827	160.28381649470919	51868319	0.8219501981238327	0.3140300536826729	35580108	0.5638331332825219	5.20436190955729	152.52050131494823
PDOM2022NLD0041J	PE	40035328	58986134	10300220167	174.62104173499486	47265159	0.8012927071979323	0.2771198971318387	34167043	0.5792385546067488	5.465193470892464	166.78851541235218
PDOM2022NLD0042M	PE	43247285	64744364	11166289090	172.46735314289288	52694323	0.8138827805922999	0.2656192584540843	38697696	0.5976998399428249	6.12970518050604	165.16669351581035
PDOM2022NLD0043F	PE	40361822	62212552	10638236355	170.99823127332888	50593297	0.8132329469461403	0.2538575218768605	37749808	0.6067876463257769	5.915630386212826	163.40083835658183
PDOM2022NLD0044M	PE	50199060	74787901	13039734388	174.3562021883727	61503090	0.8223668424656014	0.29140007437024706	43581085	0.5827290834115	6.979511978674121	166.9917496776411
PDOM2022NLD0045M	PE	50251296	77105692	13221342713	171.47038526027364	62183415	0.8064698388285005	0.28409761670374645	44517255	0.577353679673869	6.994328026687315	163.82705171286955
PDOM2022NLD0046M	PE	48759159	71790265	12485088712	173.91060907770714	57980313	0.8076347538207305	0.23314265309330084	44462629	0.6193406445846105	7.092922397839836	166.340524511045
PDOM2022NLD0047F	PE	43959036	64335598	11238886545	174.69156881078496	51885363	0.8064798433986733	0.21047779891219032	40964646	0.6367337410930726	6.572856902410616	167.30655917300007
PDOM2022NLD0048F	PE	42111580	60686807	10767512017	177.42755879379186	49231123	0.8112327115842493	0.2728269676074625	35799545	0.5899065508587393	5.844562413948733	170.2325051617276
PDOM2022NLD0062F	PE	38152981	55941623	9749665604	174.28285203666687	45631415	0.8156970168706046	0.2076248347766555	36157200	0.6463380585150345	5.7933701398849085	167.07231160045578
PDOM2022NLD0072M	PE	44939169	68735783	11776184884	171.32539079390423	56020111	0.8150065156019245	0.28098810800285634	40279126	0.5859993767729393	6.328950399673804	163.83989091521002
PDOM2022NLD0077M	PE	54361179	85671049	14498885828	169.23903695868134	71004430	0.8288030884272235	0.23845595267788222	54073001	0.6311700583939389	8.397977414091873	161.94301686714226
PDOM2022NLD0078F	PE	33613964	45576169	8356580798	183.35417349360802	36788098	0.807178374294689	0.1814234592938183	30113874	0.660737281362986	5.09653293898395	176.4721606061047
