Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
Crotone498	90456811	90456811	102	9232340083	9232340083	9123624018	9123624018	8805192304	8805192304	17063503448	17063503448
Crotone500	74279245	74279245	102	7587245653	7587245653	7472633645	7472633645	7188087597	7188087597	13960160798	13960160798
Crotone501	83531482	83531482	102	8563322980	8563322980	8460685210	8460685210	8154783902	8154783902	15815076772	15815076772
Crotone502	80900596	80900596	102	8261210247	8261210247	8168088927	8168088927	7891310170	7891310170	15286011277	15286011277
Crotone505	72638740	72638740	102	7432207407	7432207407	7342315339	7342315339	7102307304	7102307304	13759799744	13759799744
Crotone510	71465667	71465667	101	7255393169	7255393169	7162859175	7162859175	6913179066	6913179066	13391172554	13391172554
Crotone512	79554075	79554075	102	8187147381	8187147381	8094629784	8094629784	7816257865	7816257865	15145846805	15145846805
Crotone514	83507223	83507223	102	8544029872	8544029872	8444708797	8444708797	8157484911	8157484911	15804893255	15804893255
Crotone517	85875128	85875128	102	8814389104	8814389104	8721201232	8721201232	8445535124	8445535124	16347560047	16347560047
Crotone518	91092482	91092482	102	9314263792	9314263792	9177162382	9177162382	8837337611	8837337611	17157574576	17157574576
FR041	79990880	79990880	196	15692905052	15692905052	15409988914	15409988914	14979949358	14979949358	30863984156	30863984156
FR044	111391218	111391218	197	21962161627	21962161627	21411384883	21411384883	20563976727	20563976727	42586503891	42586503891
FR046	103938094	103938094	197	20559664710	20559664710	20116826007	20116826007	19457649617	19457649617	40178996948	40178996948
FR048	108305254	108305254	198	21453488769	21453488769	20990423498	20990423498	20279133078	20279133078	41899221026	41899221026
FR049	95202031	95202031	198	18890885634	18890885634	18456605808	18456605808	17818333350	17818333350	36829610070	36829610070
FR050	92686628	92686628	197	18261374799	18261374799	17950901090	17950901090	17473416631	17473416631	35980337580	35980337580
FR051	71965172	71965172	198	14260013375	14260013375	13962425292	13962425292	13514468948	13514468948	27892769695	27892769695
FR061	76267249	76267249	197	15089015548	15089015548	14781380493	14781380493	14312599702	14312599702	29530782981	29530782981
FR063	101547802	101547802	198	20133294128	20133294128	19726400607	19726400607	19106708468	19106708468	39425411078	39425411078
FR064	88869400	88869400	196	17464644428	17464644428	17049647713	17049647713	16437712520	16437712520	33996855389	33996855389
Guglionesi_336	106795864	106795864	97	10419537858	10419537858	10114613725	10114613725	9323568057	9323568057	18545981016	18545981016
Guglionesi_426	124757486	124757486	96	12002052691	12002052691	11677310618	11677310618	10729365235	10729365235	21379366323	21379366323
Guglionesi_427	103312048	103312048	95	9846841624	9846841624	9540765395	9540765395	8699213982	8699213982	17422117775	17422117775
Guglionesi_428	106920226	106920226	96	10289019909	10289019909	10014977614	10014977614	9203951819	9203951819	18328335032	18328335032
Guglionesi_429	111915869	111915869	97	10951946645	10951946645	10703630918	10703630918	9978871309	9978871309	19719138869	19719138869
Guglionesi_431	117280823	117280823	99	11715823861	11715823861	11464225840	11464225840	10728692508	10728692508	21190444635	21190444635
Guglionesi_432	100766182	100766182	97	9846403947	9846403947	9607776017	9607776017	8929417673	8929417673	17677297916	17677297916
Guglionesi_433	112599509	112599509	99	11194177535	11194177535	10915726675	10915726675	10150840783	10150840783	20093777716	20093777716
Guglionesi_434	115589890	115589890	99	11558608236	11558608236	11437239139	11437239139	11099679386	11099679386	21600288008	21600288008
Guglionesi_435	116186895	116186895	97	11308941147	11308941147	10998205736	10998205736	10164357125	10164357125	20169300790	20169300790
KAZ14001	155535789	155535789	101	15709980558	15709980558	15339294188	15339294188	14247989269	14247989269	28121128285	28121128285
KAZ14003	83683230	83683230	101	8482347940	8482347940	8271553840	8271553840	7657792816	7657792816	15136790235	15136790235
KAZ14032	101201569	101201569	101	10232623512	10232623512	10024141935	10024141935	9395930469	9395930469	18462664863	18462664863
KAZ14035	120323817	120323817	101	12195274826	12195274826	11940675251	11940675251	11180795852	11180795852	21991891840	21991891840
KAZ14053	103447015	103447015	101	10472485630	10472485630	10273151341	10273151341	9666822160	9666822160	18961364890	18961364890
KAZ14054	110304146	110304146	101	11161774951	11161774951	10940929138	10940929138	10275445743	10275445743	20175986458	20175986458
KAZ14055	110402582	110402582	101	11161351267	11161351267	10939109388	10939109388	10271923731	10271923731	20171390180	20171390180
KAZ14057	98125391	98125391	100	9887361264	9887361264	9683904575	9683904575	9073280038	9073280038	17833225945	17833225945
KAZ14059	98808465	98808465	101	10001547700	10001547700	9800108619	9800108619	9191752774	9191752774	18054261123	18054261123
KAZ14061	105436629	105436629	101	10701334022	10701334022	10491206851	10491206851	9854585411	9854585411	19345505525	19345505525
Lesina_280	135021933	135021933	99	13419145898	13419145898	13195052203	13195052203	12590388415	12590388415	24624885024	24624885024
Lesina_281	111093450	111093450	99	11017347904	11017347904	10805356227	10805356227	10250537891	10250537891	20102398630	20102398630
Lesina_282	104859918	104859918	100	10551033154	10551033154	10427549935	10427549935	10090794171	10090794171	19667310469	19667310469
Lesina_285	98079503	98079503	96	9463847354	9463847354	9195897588	9195897588	8460407039	8460407039	16846553774	16846553774
Lesina_286	108984093	108984093	97	10644292182	10644292182	10377560793	10377560793	9610689531	9610689531	19067828088	19067828088
Lesina_287	113670186	113670186	98	11225418743	11225418743	10977149949	10977149949	10233822393	10233822393	20234307741	20234307741
Lesina_288	102445044	102445044	96	9906998586	9906998586	9616258672	9616258672	8810649088	8810649088	17584434063	17584434063
Lesina_289	101303899	101303899	96	9774162032	9774162032	9481833560	9481833560	8678551271	8678551271	17335352007	17335352007
Lesina_292	115174921	115174921	96	11151444200	11151444200	10831489635	10831489635	9941269058	9941269058	19829913394	19829913394
Lesina_295	103730456	103730456	99	10342253382	10342253382	10220963847	10220963847	9890286197	9890286197	19257592406	19257592406
PD22NLD0146F	35791168	35791168	166	5944489501	5944489501	5797570590	5797570590	5526304113	5526304113	10693198935	10693198935
PD22NLD0147F	35580108	35580108	160	5698632651	5698632651	5540513705	5540513705	5260782397	5260782397	10198446624	10198446624
PDOM2022NLD0041J	34167043	34167043	175	5998426311	5998426311	5789577619	5789577619	5461187460	5461187460	10789964630	10789964630
PDOM2022NLD0042M	38697696	38697696	173	6710295226	6710295226	6466927748	6466927748	6087025116	6087025116	12045245543	12045245543
PDOM2022NLD0043F	37749808	37749808	171	6478322285	6478322285	6175368392	6175368392	5708781884	5708781884	11452497185	11452497185
PDOM2022NLD0044M	43581085	43581085	175	7638949130	7638949130	7379786420	7379786420	6974396060	6974396060	13753197817	13753197817
PDOM2022NLD0045M	44517255	44517255	172	7667149319	7667149319	7413008208	7413008208	6995183538	6995183538	13767956015	13767956015
PDOM2022NLD0046M	44462629	44462629	174	7772013695	7772013695	7444645154	7444645154	6973935957	6973935957	13892151854	13892151854
PDOM2022NLD0047F	40964646	40964646	175	7189807597	7189807597	6885799471	6885799471	6418948169	6418948169	12829180402	12829180402
PDOM2022NLD0048F	35799545	35799545	178	6384562834	6384562834	6183246131	6183246131	5852582994	5852582994	11533733532	11533733532
PDOM2022NLD0062F	36157200	36157200	175	6335576974	6335576974	6070358249	6070358249	5671800830	5671800830	11321653990	11321653990
PDOM2022NLD0072M	40279126	40279126	172	6934925774	6934925774	6677877527	6677877527	6287160167	6287160167	12423933904	12423933904
PDOM2022NLD0077M	54073001	54073001	169	9190866486	9190866486	8738063190	8738063190	8114471101	8114471101	16224408624	16224408624
PDOM2022NLD0078F	30113874	30113874	184	5561208110	5561208110	5295515640	5295515640	4896173456	4896173456	9893226770	9893226770
PDOM2022NLD0080F	39525243	39525243	172	6802050330	6802050330	6517282957	6517282957	6114245272	6114245272	12111727376	12111727376
PDOM2022NLD0081F	34314202	34314202	177	6098346288	6098346288	5892672135	5892672135	5542085850	5542085850	11001050160	11001050160
PDOM2022NLD0082F	46423129	46423129	172	8011762032	8011762032	7665922118	7665922118	7157541337	7157541337	14244520168	14244520168
PDOM2022NLD0083F	32729305	32729305	177	5811638258	5811638258	5628113076	5628113076	5335776081	5335776081	10526278699	10526278699
PDOM2022NLD0084F	35758781	35758781	172	6150656349	6150656349	5894927585	5894927585	5486414547	5486414547	10931775949	10931775949
PDOM2022NLD0107J	43900273	43900273	172	7570054858	7570054858	7254827821	7254827821	6766373383	6766373383	13473397661	13473397661
PDOM2022NLD0108J	43914119	43914119	170	7507469534	7507469534	7220307305	7220307305	6779743433	6779743433	13405906515	13405906515
PI22NLD0001M	34777819	34777819	168	5847969088	5847969088	5710050494	5710050494	5456067482	5456067482	10541403134	10541403134
TreeSparrow_01	100711037	100711037	101	10255722459	10255722459	10124169361	10124169361	9697170457	9697170457	18861471785	18861471785
TreeSparrow_02	123802483	123802483	98	12181690939	12181690939	11814721179	11814721179	10969788744	10969788744	21700136111	21700136111
TreeSparrow_03	105176297	105176297	106	11252340707	11252340707	11081711226	11081711226	10548159756	10548159756	20613974867	20613974867
TreeSparrow_04	106010831	106010831	102	10827831428	10827831428	10639177516	10639177516	10052120980	10052120980	19673612252	19673612252
TreeSparrow_05	93648836	93648836	101	9537446628	9537446628	9412315861	9412315861	9008513870	9008513870	17529336247	17529336247
TreeSparrow_06	92093178	92093178	101	9379040303	9379040303	9258766702	9258766702	8867082780	8867082780	17247040447	17247040447
TreeSparrow_07	112765909	112765909	101	11462437531	11462437531	11243717037	11243717037	10579223120	10579223120	20754516404	20754516404
TreeSparrow_08	105199190	105199190	101	10686021310	10686021310	10482879969	10482879969	9861513145	9861513145	19330820259	19330820259
TreeSparrow_09	107236447	107236447	101	10921103295	10921103295	10724283506	10724283506	10110460558	10110460558	19797287620	19797287620
TreeSparrow_10	109442366	109442366	102	11187769571	11187769571	10993670798	10993670798	10387232696	10387232696	20324932857	20324932857
