Sample	sum_pct_a	sum_pct_c	sum_pct_g	sum_pct_t	sum_pct_n	cycle_count	mean_pct_a	mean_pct_c	mean_pct_g	mean_pct_t
Crotone498_R1	5546.390983999999	3896.0745499999994	3897.3814510000034	5552.2395080000015	7.913501999999999	189	29.345984042328034	20.614151058201056	20.621065878306897	29.376928613756622
Crotone498_R2	2941.2149259999997	2055.615297	2057.95293	2944.496090999999	0.720762	100	29.412149259999996	20.55615297	20.5795293	29.444960909999992
Crotone500_R1	5416.504395	4017.459146999999	4019.9776779999984	5424.2894510000015	21.769323	189	28.658753412698413	21.256397603174598	21.269723164021155	28.699944185185192
Crotone500_R2	2882.289179000001	2114.2523	2116.5943219999995	2885.454964	1.409243	100	28.822891790000007	21.142523	21.165943219999996	28.854549640000002
Crotone501_R1	5483.8175720000045	3961.848646999998	3963.0843120000013	5489.012510999998	2.2369519999999996	189	29.01490778835981	20.96216215343914	20.968700063492072	29.042394238095227
Crotone501_R2	2907.353205	2086.8143210000007	2089.264766	2910.1686539999996	6.399064	100	29.073532049999997	20.868143210000007	20.892647659999998	29.101686539999996
Crotone502_R1	5451.4129809999995	3994.6596470000013	3994.979535999999	5456.565995999999	2.3818369999999986	189	28.843454925925922	21.135765328042336	21.137457862433855	28.870719555555553
Crotone502_R2	2891.7553709999993	2101.32772	2103.6806210000004	2894.8241600000006	8.412133	100	28.917553709999993	21.0132772	21.036806210000005	28.948241600000006
Crotone505_R1	5497.110957000002	3942.9834650000016	3943.555421	5500.050702999999	16.299451000000012	189	29.08524315873017	20.862346375661385	20.8653725978836	29.100797370370366
Crotone505_R2	2918.914968	2076.49762	2078.1708790000007	2921.446814999999	4.969723	100	29.18914968	20.7649762	20.781708790000007	29.214468149999988
Crotone510_R1	5353.059675999999	4088.955668999999	4085.7383100000006	5355.137646999999	17.10870699999999	189	28.323067068783065	21.634686079365075	21.61766301587302	28.334061624338617
Crotone510_R2	2860.8122880000005	2134.9928250000003	2136.276833	2862.639626	5.278425	100	28.608122880000007	21.34992825	21.362768329999998	28.62639626
Crotone512_R1	5426.782201000004	4018.2046740000005	4019.0451510000003	5431.798132999999	4.169841999999997	189	28.713133338624356	21.260342190476194	21.26478915873016	28.739672661375657
Crotone512_R2	2879.5820189999995	2117.683133	2119.5802769999996	2882.4730960000006	0.6814749999999998	100	28.795820189999993	21.17683133	21.195802769999997	28.824730960000007
Crotone514_R1	5462.908220999999	3981.957166999999	3984.526099	5467.672105000003	2.9364	189	28.904276301587295	21.068556439153433	21.082148671957672	28.929482037037054
