	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V51	V52	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V62	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V53	V54	V55	V56	V57	V58	V59	V60	V61	V63	V64	V65	V66	V67	V68	V69
1	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
2	0.074522	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
3	0.048286	0.090277	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
4	0.108217	0.136847	0.091323	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
5	0.037915	0.037366	0.056704	0.067804	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
6	0.052398	0.062907	0.058298	0.059224	0.03563	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
7	0.039407	0.112504	0.054782	0.064191	0.076102	0.087121	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
8	0.047671	0.096008	0.042443	0.143428	0.051056	0.12184	0.032003	10	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
9	0.103141	0.108708	0.083662	0.100889	0.029221	0.044733	0.062149	0.062793	10	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
10	0.085052	0.108343	0.093225	0.146726	0.111932	0.052705	0.025422	0.052243	0.101175	10	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
