Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	K	Value
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 7	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 4	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 3	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 6	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 2	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 5	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 2	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 5	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 6	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 3	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Allosome	K = 7	10
KAZ14001	KAZ14001	Chokpak	Chokpak	Chokpak_01	Chokpak_01	Autosomes	K = 4	10
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 4	 0.028729
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 7	 0.007130
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 3	 0.028654
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 2	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 3	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 4	10
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 2	 0.010270
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 6	 0.028690
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 5	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 6	10
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 5	 0.028727
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 5	 0.007130
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 6	 0.007130
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 2	 0.074522
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 3	 0.007130
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 4	10
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Allosome	K = 7	-0.007064
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 3	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 5	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 7	10
KAZ14001	KAZ14003	Chokpak	Chokpak	Chokpak_01	Chokpak_02	Autosomes	K = 4	 0.007130
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 2	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Autosomes	K = 6	10
KAZ14003	KAZ14003	Chokpak	Chokpak	Chokpak_02	Chokpak_02	Allosome	K = 7	10
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 7	10
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 6	10
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 2	 0.006274
