scaffold	start	end	mid	sites	lnL
chr1A	59763	244050	143634	50	-1521.30258
chr1A	244329	276235	270056	50	-2264.83780
chr1A	313965	448451	423440	50	-1791.39441
chr1A	459783	673069	614030	50	-1445.29702
chr1A	673072	794585	717171	50	-1603.40108
chr1A	794586	910819	857815	50	-1164.40720
chr1A	911374	1039316	984838	50	-1259.87190
chr1A	1039320	1077051	1052198	50	-1830.25415
chr1A	1077053	1220503	1139922	50	-1372.14698
chr1A	1221890	1335215	1265296	50	-1806.20557
chr1A	1335220	1483681	1417560	50	-1394.36738
chr1A	1484022	1607537	1571854	50	-1592.21692
chr1A	1611526	1770054	1689850	50	-1581.12566
chr1A	1773466	1802660	1797671	50	-1380.93494
chr1A	1803067	1815286	1809530	50	-1454.29570
chr1A	1815413	1816125	1815904	50	-1451.35193
chr1A	1816126	1826903	1820288	50	-1552.07553
chr1A	1826916	1827276	1827085	50	-1811.34552
chr1A	1827278	1835703	1829342	50	-1802.74138
chr1A	1835724	1912760	1876659	50	-1292.77432
chr1A	1912771	1974782	1941498	50	-1512.99157
chr1A	1974856	2038805	2002229	50	-1582.96607
chr1A	2041120	2151643	2080295	50	-1497.42288
chr1A	2166949	2334555	2271048	50	-1477.31182
chr1A	2334746	2425673	2386949	50	-1454.64095
chr1A	2425806	2503178	2457394	50	-1472.89164
chr1A	2505513	2762602	2636058	50	-1335.28025
chr1A	2762839	2915707	2830630	50	-962.25328
chr1A	2915723	3203890	3026078	50	-1581.20926
chr1A	3203914	3875098	3580273	50	-1256.01796
chr1A	3888983	4104000	3998784	50	-1218.67030
chr1A	4104123	4268530	4177401	50	-1283.00120
chr1A	4268531	4354924	4328803	50	-1112.27654
chr1A	4355003	4464153	4410435	50	-1697.07511
chr1A	4464162	4570055	4535203	50	-1353.42428
chr1A	4574309	4656726	4608763	50	-1196.21741
chr1A	4661673	4706878	4680999	50	-1552.53185
chr1A	4706908	4762759	4738369	50	-1052.12248
chr1A	4762917	4803568	4781068	50	-1188.10049
chr1A	4803742	4870697	4832108	50	-1161.58123
chr1A	4871072	4924363	4896908	50	-1271.33914
chr1A	4924387	5013158	4967027	50	-1316.97101
chr1A	5013220	5022881	5019045	50	-864.24210
chr1A	5022896	5045521	5035554	50	-1063.17379
chr1A	5045548	5095326	5069873	50	-1328.26661
chr1A	5095351	5129599	5114673	50	-1309.15049
chr1A	5129680	5152132	5139410	50	-1143.97501
chr1A	5152289	5170103	5161363	50	-1179.59308
chr1A	5171491	5216898	5194400	50	-1211.64607
chr1A	5216915	5255174	5233908	50	-1005.81345
chr1A	5256918	5308659	5278006	50	-1327.77336
chr1A	5310512	5385847	5349004	50	-1121.12745
chr1A	5385940	5453341	5422923	50	-1027.43871
chr1A	5460775	5539020	5504155	50	-1162.34614
chr1A	5539045	5726914	5624926	50	-1110.99769
chr1A	5737296	5848934	5788539	50	-1320.94099
chr1A	5848942	5920156	5879281	50	-837.29541
chr1A	5920229	5994662	5947207	50	-974.89646
chr1A	6002078	6079550	6043942	50	-1151.99961
