scaffold	start	end	mid	sites	lnL
chr20	142	387089	265471	250	-11879.76637
chr20	387101	508159	453975	250	-14690.20449
chr20	508173	573283	544715	250	-14238.26462
chr20	573308	658383	621840	250	-13509.82808
chr20	658418	719797	687917	250	-13695.60951
chr20	719824	790604	754678	250	-14167.17340
chr20	790610	909390	852332	250	-14285.17818
chr20	910509	1021641	955498	250	-15208.12407
chr20	1021645	1148417	1076295	250	-15552.30636
chr20	1149428	1302696	1212128	250	-15230.78973
chr20	1302705	1621627	1437685	250	-17412.90576
chr20	1624571	1970564	1781008	250	-16245.77232
chr20	1976630	2451074	2281925	250	-17391.61847
chr20	2451085	2728102	2593957	250	-16587.48891
chr20	2728138	2873025	2788369	250	-16474.66071
chr20	2875568	3168281	2981434	250	-16719.90520
chr20	3169404	3408131	3287684	250	-16326.73203
chr20	3408142	3725751	3582220	250	-14561.47530
chr20	3726941	4170940	3899151	250	-15743.26510
chr20	4171526	4465496	4343003	250	-14941.63693
chr20	4465514	4587878	4537610	250	-13944.67780
chr20	4587881	4760123	4674398	250	-15106.30389
chr20	4763151	4800093	4782799	250	-16499.67262
chr20	4800096	4877393	4831744	250	-16589.43551
chr20	4880905	4963190	4919754	250	-15926.19397
chr20	4963275	5134972	5046855	250	-16028.19050
chr20	5135022	5271140	5198904	250	-16709.37349
chr20	5271180	5502577	5407438	250	-16667.88868
chr20	5502590	5733395	5621898	250	-15757.33429
chr20	5733405	5913970	5830237	250	-15234.50413
chr20	5913981	6091692	6003876	250	-16708.87277
chr20	6091800	6249449	6156287	250	-14825.26400
chr20	6249458	6350030	6324459	250	-14452.80356
chr20	6350035	6423899	6366856	250	-17171.93204
chr20	6424050	6509448	6467473	250	-16540.32196
chr20	6509449	6615419	6567311	250	-14132.08697
chr20	6615656	6714969	6648704	250	-16637.12874
chr20	6717290	6909304	6808499	250	-16835.61907
chr20	6909566	6996586	6954749	250	-17095.04451
chr20	6996587	7060663	7022510	250	-19447.28050
chr20	7060708	7143096	7102397	250	-15262.59355
chr20	7143153	7218746	7178453	250	-15772.98780
chr20	7218747	7264516	7242701	250	-15592.29435
chr20	7264555	7326592	7297595	250	-15589.34103
chr20	7326678	7400082	7359970	250	-14423.50854
chr20	7400110	7512759	7462567	250	-15311.76852
chr20	7513257	7604301	7553147	250	-16376.47790
chr20	7605183	7682907	7651049	250	-16484.57228
chr20	7682922	7687147	7684510	250	-15423.46438
chr20	7687164	7718432	7700262	250	-15912.23013
chr20	7718451	7814779	7768793	250	-16352.01015
chr20	7815793	7868376	7853495	250	-15709.41506
chr20	7868441	7916644	7894341	250	-16117.92192
chr20	7916766	7972302	7947919	250	-16581.63385
chr20	7972670	8027405	7995985	250	-15174.10669
chr20	8027417	8071981	8047447	250	-16098.41642
chr20	8072155	8137257	8102283	250	-16450.44577
chr20	8137301	8250937	8187512	250	-16403.28708
chr20	8257437	8487675	8393140	250	-15726.69144
chr20	8487699	8614574	8559377	250	-16020.97147
chr20	8614643	8658981	8634394	250	-16210.09286
chr20	8659053	8724183	8692957	250	-16928.76404
chr20	8724184	8802204	8763163	250	-14839.55396
chr20	8802205	8848339	8825944	250	-14615.94899
chr20	8850825	8951032	8897701	250	-16404.07881
chr20	8951206	9044243	8992038	250	-18070.27828
chr20	9044629	9105602	9076264	250	-16005.43996
chr20	9107167	9172977	9138966	250	-16449.42270
chr20	9173073	9247898	9206563	250	-16134.24749
chr20	9247911	9339362	9300734	250	-16847.91481
chr20	9339382	9413311	9371806	250	-15905.31784
chr20	9413322	9527038	9456426	250	-17766.50067
chr20	9527065	9699681	9597621	250	-15432.16820
chr20	9700425	10002292	9850140	250	-16785.53961
chr20	10002368	10349202	10174774	250	-15119.94399
chr20	10349423	10551553	10458478	250	-16345.80607
chr20	10551641	10666121	10603630	250	-14785.09043
chr20	10666378	10776674	10730338	250	-16917.56921
chr20	10776676	10950815	10847384	250	-16087.06649
chr20	10951917	11216369	11076659	250	-16929.54191
chr20	11216964	11693748	11470756	250	-16621.65834
chr20	11693778	11807543	11763073	250	-16027.13597
chr20	11807546	11906336	11849875	250	-17799.93946
chr20	11906714	12095667	11985659	250	-15144.00316
chr20	12095777	12268216	12169218	250	-14908.45551
chr20	12268359	12392894	12334647	250	-14855.60254
chr20	12394052	12480325	12437112	250	-15309.92015
chr20	12480349	12696005	12587509	250	-14137.26864
chr20	12696022	12917758	12812544	250	-15318.43956
chr20	12918559	13123873	13010327	250	-15086.41357
chr20	13123899	13133846	13129400	250	-13011.34648
chr20	13133882	13258872	13196729	250	-15372.72159
chr20	13258881	13307486	13297410	250	-15382.34651
chr20	13307489	13313294	13311699	250	-14301.24147
chr20	13313314	13329516	13318294	250	-14806.37875
chr20	13329520	13469990	13413372	250	-18555.49331
chr20	13470972	13553033	13508887	250	-15390.82857
chr20	13553034	13651716	13601759	250	-16016.83767
chr20	13652262	13783689	13719985	250	-16769.55541
chr20	13783787	13893115	13832923	250	-17003.12765
chr20	13893431	14089409	13986011	250	-18066.11661
chr20	14089410	14263982	14145925	250	-13969.16395
chr20	14267867	14745853	14499792	250	-12370.41217
chr20	14747281	14774260	14770876	250	-14751.87844
