scaffold	start	end	mid	sites	lnL
chr1A	59763	244050	143634	50	-1473.29241
chr1A	244329	276235	270056	50	-2266.74616
chr1A	313965	448451	423440	50	-1748.43485
chr1A	459783	673069	614030	50	-1446.66552
chr1A	673072	794585	717171	50	-1618.64085
chr1A	794586	910819	857815	50	-1179.30145
chr1A	911374	1039316	984838	50	-1275.48166
chr1A	1039320	1077051	1052198	50	-1828.93934
chr1A	1077053	1220503	1139922	50	-1395.40518
chr1A	1221890	1335215	1265296	50	-1784.69617
chr1A	1335220	1483681	1417560	50	-1400.55448
chr1A	1484022	1607537	1571854	50	-1569.95596
chr1A	1611526	1770054	1689850	50	-1601.59564
chr1A	1773466	1802660	1797671	50	-1359.14883
chr1A	1803067	1815286	1809530	50	-1461.20121
chr1A	1815413	1816125	1815904	50	-1457.05379
chr1A	1816126	1826903	1820288	50	-1544.73232
chr1A	1826916	1827276	1827085	50	-1809.56091
chr1A	1827278	1835703	1829342	50	-1840.05630
chr1A	1835724	1912760	1876659	50	-1294.65950
chr1A	1912771	1974782	1941498	50	-1528.86326
chr1A	1974856	2038805	2002229	50	-1574.99894
chr1A	2041120	2151643	2080295	50	-1455.74893
chr1A	2166949	2334555	2271048	50	-1489.53567
chr1A	2334746	2425673	2386949	50	-1455.40255
chr1A	2425806	2503178	2457394	50	-1454.40396
chr1A	2505513	2762602	2636058	50	-1318.67977
chr1A	2762839	2915707	2830630	50	-945.85715
chr1A	2915723	3203890	3026078	50	-1595.17232
chr1A	3203914	3875098	3580273	50	-1267.38023
chr1A	3888983	4104000	3998784	50	-1204.67957
chr1A	4104123	4268530	4177401	50	-1257.36908
chr1A	4268531	4354924	4328803	50	-1108.82599
chr1A	4355003	4464153	4410435	50	-1695.09472
chr1A	4464162	4570055	4535203	50	-1337.55696
chr1A	4574309	4656726	4608763	50	-1187.63668
chr1A	4661673	4706878	4680999	50	-1562.18842
chr1A	4706908	4762759	4738369	50	-1032.86623
chr1A	4762917	4803568	4781068	50	-1197.79855
chr1A	4803742	4870697	4832108	50	-1166.60852
chr1A	4871072	4924363	4896908	50	-1266.49200
chr1A	4924387	5013158	4967027	50	-1318.46325
chr1A	5013220	5022881	5019045	50	-853.21817
chr1A	5022896	5045521	5035554	50	-1071.60449
chr1A	5045548	5095326	5069873	50	-1322.61531
chr1A	5095351	5129599	5114673	50	-1268.56808
chr1A	5129680	5152132	5139410	50	-1150.31661
chr1A	5152289	5170103	5161363	50	-1187.82973
chr1A	5171491	5216898	5194400	50	-1208.44268
chr1A	5216915	5255174	5233908	50	-999.76854
chr1A	5256918	5308659	5278006	50	-1351.17262
chr1A	5310512	5385847	5349004	50	-1130.00809
chr1A	5385940	5453341	5422923	50	-1021.05691
chr1A	5460775	5539020	5504155	50	-1174.98714
chr1A	5539045	5726914	5624926	50	-1120.35767
chr1A	5737296	5848934	5788539	50	-1318.99321
chr1A	5848942	5920156	5879281	50	-846.29002
chr1A	5920229	5994662	5947207	50	-967.06176
chr1A	6002078	6079550	6043942	50	-1140.83112
chr1A	6079589	6347934	6185527	50	-1271.34606
chr1A	6347986	6503250	6454039	50	-1215.46837
chr1A	6503254	6516958	6504152	50	-1529.79759
chr1A	6516965	6576268	6541614	50	-1177.39908
chr1A	6581105	6976025	6771530	50	-1463.22905
chr1A	6986457	7332295	7111386	50	-1058.35774
chr1A	7332302	7499890	7440600	50	-1752.71233
chr1A	7500035	7864611	7690940	50	-1536.42849
chr1A	7864632	8404757	8073062	50	-1187.65232
chr1A	8406276	8820274	8671938	50	-1276.81068
chr1A	8827265	9076079	8927847	50	-1177.93145
chr1A	9076103	9224660	9133142	50	-1055.29435
chr1A	9230253	9364253	9301978	50	-1170.53854
chr1A	9374539	9592942	9450666	50	-1131.01210
chr1A	9592952	9860112	9774066	50	-1115.33139
chr1A	9860247	10051004	9951953	50	-1396.86610
chr1A	10053360	10192554	10116599	50	-1310.79990
chr1A	10192652	10310003	10243815	50	-1434.60170
chr1A	10310070	10449843	10373566	50	-1401.33719
chr1A	10449870	10575845	10536689	50	-1500.51544
chr1A	10575855	10624184	10600248	50	-1091.08949
chr1A	10624237	10665127	10650354	50	-1046.93527
chr1A	10665768	10740242	10706770	50	-1149.41697
chr1A	10742555	10843596	10801761	50	-1324.45526
chr1A	10843770	10925580	10901029	50	-1069.76186
chr1A	10925600	11046658	10962670	50	-1239.95965
chr1A	11046680	11089495	11061411	50	-1313.26211
chr1A	11089537	11185827	11148598	50	-1045.22077
chr1A	11185841	11249746	11221095	50	-1387.45685
chr1A	11252767	11287797	11273899	50	-1007.35649
chr1A	11287798	11309683	11297756	50	-954.07680
chr1A	11309711	11331608	11317040	50	-1145.53619
chr1A	11331629	11357246	11340630	50	-995.32598
chr1A	11364084	11419614	11398018	50	-1126.86606
chr1A	11419696	11557906	11478733	50	-1426.80160
chr1A	11557946	11655347	11595668	50	-1316.05124
chr1A	11657331	11760692	11734811	50	-1315.50250
chr1A	11764006	11780826	11774124	50	-1077.32788
chr1A	11783693	11840452	11798381	50	-1075.64758
chr1A	11840495	11868565	11854911	50	-1787.17879
chr1A	11869382	11888791	11880373	50	-889.20317
chr1A	11889005	11913131	11899030	50	-1059.24378
chr1A	11914053	11991618	11947389	50	-1469.10605
chr1A	12005542	12068807	12030311	50	-1344.96263
chr1A	12071279	12209370	12155019	50	-1085.22868
chr1A	12212941	12382400	12310934	50	-1378.57673
chr1A	12385705	12421016	12403506	50	-1131.56300
chr1A	12424531	12467739	12450765	50	-1525.74363
chr1A	12467745	12478212	12471984	50	-1035.01296
chr1A	12478321	12521552	12501958	50	-993.89664
chr1A	12526705	12568400	12541865	50	-1366.80022
chr1A	12569252	12660675	12621399	50	-1261.80705
chr1A	12660692	12738467	12688152	50	-1217.48662
chr1A	12738495	12867716	12805424	50	-1322.51542
chr1A	12867897	12910013	12891142	50	-1190.03322
chr1A	12910076	13003079	12945610	50	-1496.95936
chr1A	13003080	13031216	13014800	50	-1316.46812
chr1A	13031228	13111796	13057671	50	-1093.18429
chr1A	13111807	13201141	13173647	50	-1033.90555
chr1A	13205866	13257440	13223113	50	-1109.33279
chr1A	13257450	13337666	13295508	50	-1096.15190
chr1A	13338798	13383290	13360604	50	-1275.72694
chr1A	13386975	13416824	13404996	50	-920.68526
chr1A	13418147	13472509	13448288	50	-1173.30481
chr1A	13472521	13501865	13489440	50	-1247.10130
chr1A	13501876	13607091	13561775	50	-1336.32497
chr1A	13607948	13626597	13620871	50	-900.08441
chr1A	13626617	13688640	13665047	50	-797.97150
chr1A	13689526	13937708	13782438	50	-1009.74931
chr1A	13948526	14197501	14076187	50	-898.09934
chr1A	14239892	14935434	14582979	50	-1210.24959
chr1A	14935801	16050696	15462094	50	-1141.60395
chr1A	16050718	16321286	16198380	50	-1017.97062
chr1A	16321290	16392623	16353309	50	-964.94401
chr1A	16392635	16649724	16536812	50	-1098.45618
chr1A	16667021	17100212	16932727	50	-1349.05382
chr1A	17100214	17389060	17210716	50	-1314.96752
chr1A	17391105	17517415	17431514	50	-1032.74930
chr1A	17517449	17563908	17538415	50	-1216.24756
chr1A	17563954	17628468	17591331	50	-1407.42505
chr1A	17628490	17701209	17661309	50	-1321.39745
chr1A	17701216	17872568	17786191	50	-1523.48368
chr1A	17872586	18024080	17948034	50	-892.03435
chr1A	18050207	18194538	18116564	50	-952.40871
chr1A	18194596	18314431	18253480	50	-1495.23232
chr1A	18315709	18585771	18437819	50	-1002.91164
chr1A	18585794	19099457	18815821	50	-968.54356
chr1A	19114490	19200928	19162475	50	-936.28078
chr1A	19200962	19346222	19305134	50	-1061.56243
chr1A	19346244	19413140	19360589	50	-844.94695
chr1A	19413162	19448171	19434695	50	-934.87796
chr1A	19463999	19592020	19518701	50	-1260.00017
chr1A	19598404	19784655	19722228	50	-943.85353
chr1A	19790724	20075575	19913647	50	-976.02091
chr1A	20075596	20233580	20144852	50	-1006.54386
chr1A	20233720	20475131	20352568	50	-996.81025
chr1A	20475139	20640273	20539063	50	-901.31217
chr1A	20641227	20777177	20707560	50	-1025.02306
chr1A	20777191	21332833	20986504	50	-1122.51333
chr1A	21332848	21577731	21475206	50	-1227.19454
chr1A	21577733	21583534	21582505	50	-1349.56742
chr1A	21583539	21584586	21584004	50	-1596.81032
chr1A	21584590	21654417	21628127	50	-1820.94385
chr1A	21654461	21654975	21654731	50	-976.06739
chr1A	21654979	21656707	21655690	50	-1259.00974
chr1A	21656709	21657838	21657029	50	-1114.91316
chr1A	21657846	21708790	21672888	50	-1492.17049
chr1A	21708813	21797426	21750103	50	-1001.33023
chr1A	21801626	21959906	21894254	50	-1191.24007
chr1A	21959938	22060488	22016587	50	-1395.79848
chr1A	22078728	22133916	22113050	50	-1014.31457
chr1A	22136910	22157109	22148402	50	-935.87916
chr1A	22167974	22285301	22216227	50	-1271.38811
chr1A	22285311	22355539	22320469	50	-961.14986
chr1A	22355847	22477491	22425916	50	-1130.81846
chr1A	22477554	22688411	22565137	50	-1339.21309
chr1A	22692201	23154657	22930822	50	-1024.45657
chr1A	23154666	23573860	23337712	50	-1011.64791
chr1A	23573866	23726644	23667953	50	-1212.31958
chr1A	23729052	23963591	23887759	50	-1423.58675
chr1A	23967102	24057176	24020747	50	-1106.48775
chr1A	24057230	24214237	24161749	50	-1222.87805
chr1A	24214243	24227098	24220100	50	-978.12123
chr1A	24228385	24307732	24259245	50	-1333.83214
chr1A	24307785	24532374	24436488	50	-1057.36361
chr1A	24533921	25359717	24991270	50	-981.55990
chr1A	25416240	25536409	25511747	50	-1137.03000
chr1A	25545223	25646054	25598104	50	-940.95495
chr1A	25651096	25822421	25757772	50	-1037.59524
chr1A	25823815	26040040	25947091	50	-1256.43634
chr1A	26040388	26261193	26142691	50	-1065.91220
chr1A	26261294	26352191	26314842	50	-1037.65281
chr1A	26361337	26444779	26415651	50	-920.08491
chr1A	26444855	26501892	26477362	50	-1007.90436
chr1A	26501901	26672968	26596403	50	-1141.49083
chr1A	26673108	26781687	26723727	50	-1293.07130
chr1A	26781697	26908845	26841310	50	-939.77048
chr1A	26910473	27075362	27013589	50	-1062.54741
chr1A	27082252	27206974	27150880	50	-1488.10332
chr1A	27212071	27345537	27294396	50	-917.40329
chr1A	27346656	27556975	27448167	50	-1124.39044
chr1A	27556977	27662971	27604097	50	-978.98824
chr1A	27666330	27784538	27721781	50	-1262.54394
chr1A	27785720	27888601	27855044	50	-1139.25047
chr1A	27888622	27945365	27918214	50	-1171.07387
chr1A	27946180	28029980	27979121	50	-1220.04053
chr1A	28033185	28069300	28058972	50	-594.74178
chr1A	28069302	28108400	28084841	50	-1056.77550
chr1A	28108425	28220136	28160857	50	-748.41811
chr1A	28222994	28405475	28285528	50	-1019.90893
chr1A	28421078	28725814	28569425	50	-1118.90429
chr1A	28725860	29388496	28969475	50	-920.32489
chr1A	29388859	29781786	29681146	50	-914.44531
chr1A	29782835	29965222	29877834	50	-1008.94868
chr1A	29965224	30098744	30011601	50	-1007.52640
chr1A	30098759	30247535	30195703	50	-1146.52203
chr1A	30250450	30321061	30282400	50	-1038.22121
chr1A	30333940	30424260	30387145	50	-1210.74920
chr1A	30424265	30457071	30440116	50	-887.08266
chr1A	30457077	30511030	30473709	50	-1032.73927
chr1A	30511031	30589339	30554459	50	-1265.69109
chr1A	30589398	30692694	30640498	50	-1157.29584
chr1A	30698289	30785709	30744897	50	-1060.77928
chr1A	30787779	30946527	30879349	50	-1102.53934
chr1A	30946531	31103347	30996259	50	-1289.06304
chr1A	31103353	31177289	31148505	50	-945.68535
chr1A	31177365	31241495	31213974	50	-966.50859
chr1A	31241496	31325823	31275456	50	-1037.48791
chr1A	31331708	31424741	31376345	50	-987.87580
chr1A	31425108	31592684	31494249	50	-1041.66416
chr1A	31592740	31714601	31664009	50	-1126.40263
chr1A	31714688	31743013	31733277	50	-943.98715
chr1A	31743070	31766928	31748612	50	-876.84312
chr1A	31767948	31833121	31807260	50	-1338.78061
chr1A	31833177	31881901	31856705	50	-1263.45840
chr1A	31881909	31949165	31896418	50	-942.80923
chr1A	31958233	32024560	31982728	50	-1349.69711
chr1A	32024570	32064619	32038165	50	-1244.58549
chr1A	32064774	32177259	32109504	50	-1088.19359
chr1A	32177278	32244586	32205110	50	-1355.17282
chr1A	32244605	32308236	32272383	50	-1378.71897
chr1A	32308281	32392551	32357837	50	-1303.81958
chr1A	32394135	32514238	32471122	50	-1040.73174
chr1A	32516941	32564612	32539445	50	-1273.32834
chr1A	32565463	32641755	32587549	50	-1087.40935
chr1A	32646559	32693288	32680832	50	-1147.67179
chr1A	32693705	32738256	32713464	50	-1023.76747
chr1A	32738272	32835455	32781298	50	-1082.21631
chr1A	32835789	32949953	32880132	50	-929.86300
chr1A	32949988	33145650	33043662	50	-1036.47480
chr1A	33145719	33189164	33180379	50	-1246.94744
chr1A	33189166	33275088	33220659	50	-1251.70072
chr1A	33275500	33340014	33307810	50	-1114.34638
chr1A	33340032	33403883	33371894	50	-806.39599
chr1A	33407007	33487744	33441100	50	-616.97877
chr1A	33487764	33750576	33630081	50	-843.19218
chr1A	33750579	34047270	33835252	50	-1366.10292
chr1A	34061646	34358455	34263072	50	-1048.23690
chr1A	34358460	34555969	34471340	50	-1171.63307
chr1A	34556093	34592816	34571458	50	-1005.44543
chr1A	34592829	34636860	34618566	50	-770.51887
chr1A	34637961	34662490	34652076	50	-822.80782
chr1A	34662533	34733245	34689499	50	-1104.64804
chr1A	34733779	34782447	34763505	50	-1132.90679
chr1A	34782513	34924738	34848939	50	-1195.31811
chr1A	34932831	35072594	35018627	50	-1183.64334
chr1A	35072614	35135731	35110842	50	-936.70501
chr1A	35135785	35261958	35184886	50	-946.54930
chr1A	35263230	35546758	35364652	50	-1169.76771
chr1A	35546773	35760686	35650147	50	-1164.32256
chr1A	35760935	36061103	35931403	50	-946.12927
chr1A	36079275	36298938	36190428	50	-1060.37707
chr1A	36298953	36427858	36366344	50	-1101.03437
chr1A	36427860	36552417	36481555	50	-986.41816
chr1A	36559703	36756531	36703092	50	-1135.00924
chr1A	36756546	37054322	36859556	50	-805.65820
chr1A	37064183	37412153	37278383	50	-876.58192
chr1A	37412164	37452636	37425664	50	-1005.96133
chr1A	37452641	38217766	37736616	50	-1023.11645
chr1A	38229794	38819884	38532654	50	-962.49180
chr1A	38819941	39677578	39422404	50	-773.45312
chr1A	39689105	39869243	39767778	50	-592.44339
chr1A	39869477	40026155	39930379	50	-932.86299
chr1A	40026330	40166749	40091013	50	-982.93847
chr1A	40166750	40676508	40429844	50	-1066.22148
chr1A	40676521	40856152	40766943	50	-1095.19503
chr1A	40856195	40941314	40894895	50	-823.33316
chr1A	40942459	41043218	40993696	50	-884.59699
chr1A	41046001	41157786	41088621	50	-852.23918
chr1A	41161150	41228945	41199080	50	-851.13155
chr1A	41228958	41288193	41258902	50	-871.15295
chr1A	41295780	41369421	41339253	50	-1289.40098
chr1A	41369425	41493186	41413154	50	-1044.16719
chr1A	41493194	41510182	41501111	50	-471.81214
chr1A	41510212	41573711	41544966	50	-911.75188
chr1A	41573922	41667248	41609443	50	-1162.19950
chr1A	41684474	41778250	41739019	50	-1123.03984
chr1A	41778274	41846503	41803640	50	-1184.96343
chr1A	41861554	41972812	41913867	50	-1742.42874
chr1A	41973119	42053145	42012722	50	-1176.88103
chr1A	42053147	42138718	42108138	50	-1457.85669
chr1A	42139991	42154397	42145931	50	-901.31230
chr1A	42154409	42167232	42161709	50	-1079.02328
chr1A	42167274	42179766	42174027	50	-985.74822
chr1A	42179788	42209337	42194444	50	-1215.59952
chr1A	42209346	42249876	42227858	50	-1244.89236
