scaffold	start	end	mid	sites	lnL
chr13	10092	345763	172551	50	-1078.64164
chr13	358737	1010981	658946	50	-1162.81924
chr13	1011086	1323482	1195278	50	-1308.85325
chr13	1325975	1547001	1434544	50	-1641.95295
chr13	1547033	1756913	1673553	50	-1706.86133
chr13	1757257	1883152	1827817	50	-1906.38852
chr13	1884746	1987162	1923584	50	-1853.54002
chr13	1988411	2053620	2027151	50	-2144.19075
chr13	2053634	2218038	2159121	50	-2219.61423
chr13	2218431	2280732	2249227	50	-1864.04250
chr13	2281265	2386763	2352077	50	-2212.15786
chr13	2386770	2448520	2417740	50	-1865.57714
chr13	2448524	2523414	2485555	50	-1664.74424
chr13	2525115	2590954	2555999	50	-2170.28893
chr13	2592816	2674282	2628550	50	-1681.01078
chr13	2674384	2747562	2704283	50	-1798.89959
chr13	2748404	2800549	2769923	50	-2063.80360
chr13	2809500	2861660	2837843	50	-2189.99193
chr13	2863689	2922254	2891029	50	-1853.51420
chr13	2922261	3018727	2972697	50	-1583.94448
chr13	3018802	3106677	3046200	50	-1915.86566
chr13	3106871	3348557	3200289	50	-1795.34736
chr13	3356942	3612993	3495280	50	-1782.21299
chr13	3624326	3870326	3748084	50	-1609.95062
chr13	3870376	3938794	3910609	50	-1601.21871
chr13	3938813	4021303	3977510	50	-2123.52903
chr13	4025764	4170036	4078286	50	-1497.99790
chr13	4170633	4605213	4376618	50	-1589.37716
chr13	4615015	4978377	4787560	50	-1449.56632
chr13	4978688	5583127	5328650	50	-1714.94596
chr13	5583151	5901608	5757420	50	-1549.15521
chr13	5903980	6449856	6188451	50	-1499.24638
chr13	6477761	6894896	6745164	50	-1503.75088
chr13	6898981	7004316	6954364	50	-2155.00304
chr13	7004557	7135827	7062646	50	-1973.34707
chr13	7136197	7226656	7192782	50	-2132.82952
chr13	7230790	7327815	7278162	50	-2145.12594
chr13	7327821	7406976	7368635	50	-1853.30886
chr13	7411463	7535341	7476901	50	-1804.77208
chr13	7535383	7807905	7686461	50	-1881.84197
chr13	7815381	8026510	7926180	50	-1791.93504
chr13	8026537	8188050	8136458	50	-1979.86628
chr13	8188054	8307068	8252901	50	-2026.89505
chr13	8307205	8387109	8343691	50	-1747.15912
chr13	8387832	8488116	8453882	50	-2070.46518
chr13	8489696	8623326	8544699	50	-1982.11292
chr13	8623377	8710886	8663930	50	-1737.16003
chr13	8716930	8899898	8811784	50	-1512.29561
chr13	8908276	9001766	8957495	50	-1644.37082
chr13	9001822	9136554	9074255	50	-2091.15628
chr13	9136741	9206576	9172908	50	-1927.54692
chr13	9206690	9310517	9270738	50	-1888.38958
chr13	9310550	9508376	9422177	50	-1721.54402
chr13	9508413	9849942	9708530	50	-1675.85269
chr13	9849943	9967844	9901623	50	-1763.20198
chr13	9969985	10077419	10014108	50	-2088.13388
chr13	10077431	10155388	10108133	50	-1983.06979
chr13	10155780	10282471	10211635	50	-1963.98805
chr13	10289050	10386614	10338884	50	-2182.07387
chr13	10386617	10476076	10429125	50	-1917.78736
chr13	10476442	10642544	10538565	50	-2207.93457
chr13	10643121	10788095	10706717	50	-2036.15786
chr13	10788224	10939607	10893916	50	-1900.27666
chr13	10942002	11042166	10993779	50	-1932.92378
chr13	11042280	11093670	11065867	50	-1988.07719
chr13	11094184	11190056	11157298	50	-2042.86614
chr13	11190074	11231173	11212845	50	-1985.22764
chr13	11233279	11295342	11265596	50	-2307.87859
chr13	11295511	11331775	11316889	50	-2150.90710
chr13	11331836	11369193	11351327	50	-2136.17486
chr13	11369924	11432032	11400168	50	-2007.75463
chr13	11436137	11492943	11461993	50	-2186.07383
chr13	11497291	11559635	11533102	50	-2134.15900
chr13	11559802	11595869	11578289	50	-2186.90940
chr13	11596861	11639600	11615140	50	-2158.39349
chr13	11641599	11705489	11668583	50	-2296.74800
chr13	11705870	11745067	11726527	50	-2541.75315
chr13	11745121	11800833	11766802	50	-1890.42182
chr13	11800834	11949396	11877917	50	-1802.21384
chr13	11952019	12129550	12031850	50	-1712.10378
chr13	12136855	12314435	12222351	50	-1998.93054
chr13	12326257	12429338	12392383	50	-1949.20495
chr13	12431718	12502835	12471290	50	-2240.14146
chr13	12502959	12650399	12596110	50	-2056.04701
chr13	12650807	12712144	12681264	50	-1841.95570
chr13	12712653	12855475	12772116	50	-1761.34281
chr13	12858055	13084254	12967562	50	-1883.65992
chr13	13085705	13300696	13210181	50	-1757.44953
chr13	13305682	13416440	13373509	50	-1977.35419
chr13	13424329	13550638	13472739	50	-2143.00101
chr13	13560541	13740414	13653454	50	-1810.34399
chr13	13740417	14007847	13863954	50	-1786.61601
chr13	14012717	14171524	14098881	50	-1992.41447
chr13	14171614	14296931	14238215	50	-2186.74244
chr13	14298833	14360564	14330071	50	-2092.94142
chr13	14360792	14406310	14383105	50	-2145.89145
chr13	14406331	14444046	14420146	50	-2089.49405
chr13	14444061	14491297	14472790	50	-2211.34074
chr13	14491438	14552238	14516027	50	-1732.20637
chr13	14552251	14632055	14582706	50	-2121.87283
chr13	14632627	14668686	14651567	50	-2152.02556
chr13	14669621	14708935	14687005	50	-1782.55939
chr13	14709126	14757969	14726948	50	-2387.71627
chr13	14760119	14883752	14804391	50	-2211.25282
chr13	14884358	15170945	15010074	50	-1851.70069
chr13	15172103	15410440	15277099	50	-1699.32862
chr13	15413036	15527011	15467475	50	-2086.39030
chr13	15538791	15712256	15632206	50	-1904.22226
chr13	15712324	15864200	15791324	50	-2097.08376
chr13	15871894	16018370	15973279	50	-2249.65987
chr13	16019513	16154290	16076424	50	-1451.78885
chr13	16162068	16254693	16209816	50	-1796.98281
chr13	16263786	16318164	16287657	50	-1822.65606
chr13	16320381	16422251	16375673	50	-2047.81961
chr13	16422264	16459248	16435937	50	-2045.03473
chr13	16459775	16543484	16494695	50	-1920.65454
chr13	16554342	16653712	16602742	50	-2362.39856
chr13	16661107	16814864	16751386	50	-1995.45836
chr13	16814888	16914428	16874061	50	-1918.38336
chr13	16915524	17027343	16975747	50	-2008.12254
chr13	17027383	17109974	17066054	50	-1939.38466
chr13	17109989	17167733	17142774	50	-2005.42077
chr13	17177336	17282137	17236177	50	-2050.17847
chr13	17286742	17356379	17325780	50	-2013.04555
chr13	17357542	17419931	17389573	50	-1867.28917
chr13	17422123	17523638	17477342	50	-1947.51297
chr13	17525113	17579167	17558386	50	-2070.21585
chr13	17580231	17642353	17600870	50	-2252.12558
chr13	17642354	17717383	17686921	50	-1767.79576
chr13	17717400	17788858	17753347	50	-1743.99351
chr13	17789653	18019383	17914157	50	-1701.73591
