scaffold	start	end	mid	sites	lnL
chrZ	457616	1334305	843441	50	-887.44036
chrZ	1334317	1888861	1683832	50	-1729.42116
chrZ	1888903	1889521	1889182	50	-1583.32870
chrZ	1889524	2481681	2063210	50	-1310.38867
chrZ	2742112	3311166	2778695	50	-1914.19723
chrZ	3311192	6652256	4487494	50	-1566.73556
chrZ	6652270	8022612	7096980	50	-1640.75044
chrZ	8022674	11203553	10233049	50	-1674.49053
chrZ	11203555	11203976	11203768	50	-1405.00822
chrZ	11203978	11204327	11204133	50	-1798.01048
chrZ	11204332	11205397	11204935	50	-1490.65107
chrZ	11205401	11206842	11206270	50	-1583.24422
chrZ	11206844	11207657	11207133	50	-1506.67851
chrZ	11207662	11208368	11207983	50	-1640.19616
chrZ	11208371	11208788	11208584	50	-1676.45569
chrZ	11208790	11209221	11209003	50	-1873.49665
chrZ	11209223	11211955	11209702	50	-1489.03221
chrZ	11211962	11217496	11215733	50	-1397.59174
chrZ	11217500	11223114	11219129	50	-1650.61942
chrZ	11223116	11223705	11223338	50	-1428.85845
chrZ	11223715	11224150	11223985	50	-1127.20839
chrZ	11224160	11224645	11224433	50	-1282.61718
chrZ	11224786	11233512	11228347	50	-1931.62344
chrZ	11233520	11234148	11233701	50	-1702.90395
chrZ	11234149	11237210	11236095	50	-1994.33595
chrZ	11237213	11237795	11237499	50	-1442.97019
chrZ	11237797	11238076	11237950	50	-1500.67487
chrZ	11238085	11246166	11242683	50	-1082.98348
chrZ	11246191	11251034	11249637	50	-1451.77096
chrZ	11251041	11322977	11255628	50	-1383.90559
chrZ	11322987	11442150	11381732	50	-1258.81241
chrZ	11442160	11446379	11443454	50	-1371.52901
chrZ	11446384	11447150	11446680	50	-1163.73840
chrZ	11447166	11592224	11466623	50	-1601.81036
chrZ	11592235	11697710	11666027	50	-1481.32202
chrZ	11697760	11704560	11700641	50	-1183.33013
chrZ	11704809	11710204	11707850	50	-1103.47671
chrZ	11710222	11721338	11713372	50	-1516.03942
chrZ	11721347	11724259	11722038	50	-1395.93983
chrZ	11724284	11731838	11727396	50	-862.59244
chrZ	11731876	11958833	11762435	50	-1245.61053
chrZ	12088977	12089475	12089304	50	-1479.07380
chrZ	12089477	12089904	12089660	50	-1401.05571
chrZ	12089905	12090185	12090029	50	-1101.07667
chrZ	12090187	12090568	12090372	50	-1449.37756
chrZ	12090588	12091304	12090817	50	-1415.81601
chrZ	12091305	12091549	12091421	50	-1604.52232
chrZ	12091561	12094056	12092267	50	-1519.67750
chrZ	12094196	12112560	12111682	50	-1051.84422
chrZ	12112561	12113185	12112992	50	-2041.57123
chrZ	12113197	12118879	12118317	50	-2076.95396
chrZ	12128459	12128813	12128604	50	-1323.47029
chrZ	12128821	12135410	12132918	50	-1912.00890
chrZ	12135411	12136435	12135777	50	-1623.68897
chrZ	12136456	12136756	12136619	50	-1909.84959
chrZ	12136762	12137083	12136935	50	-1369.25667
chrZ	12137099	12140119	12139050	50	-1934.12053
chrZ	12140124	12146320	12141437	50	-2084.94928
chrZ	12146323	12146656	12146483	50	-1969.53317
chrZ	12146661	12147297	12147126	50	-1613.60868
chrZ	12147315	12147593	12147446	50	-2038.02764
chrZ	12147597	12155326	12151862	50	-1915.63214
chrZ	12155327	12157492	12155812	50	-1165.46655
chrZ	12157512	12158325	12157979	50	-1826.56806
chrZ	12158331	12160489	12158757	50	-1312.34218
chrZ	12160495	12205146	12187634	50	-1816.85686
chrZ	12205147	12205335	12205245	50	-2246.04997
chrZ	12205339	12459307	12345390	50	-1379.47742
chrZ	12459308	12479724	12474867	50	-1425.30055
chrZ	12479753	13076008	12846017	50	-1910.09011
chrZ	13076009	13076189	13076093	50	-1697.61446
chrZ	13076192	13446941	13244019	50	-2258.85550
chrZ	13446945	14091049	13975048	50	-2068.02469
chrZ	14091053	14181676	14123681	50	-1925.99217
chrZ	14181684	14182267	14181997	50	-1217.04200
chrZ	14182276	14182519	14182410	50	-1258.57430
chrZ	14182520	14288414	14189492	50	-1600.06623
chrZ	14288420	14928625	14826034	50	-1334.13574
chrZ	14928650	15258282	15192567	50	-1357.45629
chrZ	15258288	16421715	15580129	50	-1712.00127
chrZ	16421718	17401758	17127888	50	-1599.66795
chrZ	17401760	17402133	17401920	50	-1533.59128
chrZ	17402135	18043700	17510877	50	-2261.39537
chrZ	18043713	18043949	18043835	50	-1100.59480
chrZ	18043955	18044183	18044054	50	-877.33411
chrZ	18044186	18044406	18044301	50	-844.64571
chrZ	18044434	18849521	18321293	50	-1198.06322
chrZ	18849577	19495579	19111042	50	-2059.52119
chrZ	19495580	19495743	19495662	50	-1968.32993
chrZ	19495752	19554815	19509952	50	-2335.15243
chrZ	19554829	20862522	20066387	50	-1297.61590
chrZ	20862523	20865696	20863105	50	-1138.36140
chrZ	20865702	20866153	20865940	50	-1003.73850
chrZ	20866154	20866689	20866372	50	-1127.04575
chrZ	20866690	20867189	20867031	50	-900.27963
chrZ	20867201	20867518	20867374	50	-1172.77392
chrZ	20867529	20867794	20867672	50	-1049.89073
chrZ	20867798	20872260	20870289	50	-1698.83394
chrZ	20872271	20877229	20873532	50	-1930.88825
chrZ	20877237	20877593	20877400	50	-1223.40405
chrZ	20877600	20877988	20877764	50	-1438.31646
chrZ	20880108	20891391	20881070	50	-1606.69490
chrZ	20891399	20892790	20892213	50	-970.57032
chrZ	20892828	20920860	20908472	50	-1382.21286
chrZ	20920861	20921042	20920945	50	-1518.24889
chrZ	20921048	20921613	20921181	50	-1654.64498
chrZ	20921614	20966109	20945900	50	-1724.44566
chrZ	20966111	23564292	22165098	50	-1064.03292
chrZ	23564317	24220567	23770920	50	-1372.54314
chrZ	24220574	26468962	24462589	50	-1447.39297
chrZ	26468974	26475583	26470798	50	-1509.89414
chrZ	26475596	26483608	26480027	50	-1636.76454
chrZ	26483616	26890061	26657785	50	-1690.81214
chrZ	26890062	26891217	26890563	50	-2056.02485
chrZ	26891225	26891687	26891456	50	-1563.03708
chrZ	26891693	26891934	26891841	50	-1427.66443
chrZ	26891936	26892092	26892002	50	-1121.66212
chrZ	26892096	26892464	26892297	50	-1159.53170
chrZ	26892466	26892960	26892681	50	-1664.42630
chrZ	26892961	26894946	26893951	50	-1104.90727
chrZ	26894947	26895834	26895396	50	-907.24319
chrZ	26895839	26896735	26896373	50	-1034.94979
chrZ	26896736	26897393	26897044	50	-1757.56056
chrZ	26897466	26898348	26897937	50	-1521.01779
chrZ	26898349	26898875	26898579	50	-1082.78939
chrZ	26898883	26899566	26899238	50	-1385.10364
