scaffold	start	end	mid	sites	lnL
chr26	279	100510	41761	50	-840.21455
chr26	106216	126889	117703	50	-668.13019
chr26	126959	167319	141849	50	-980.18875
chr26	169009	198876	183962	50	-1107.29214
chr26	199034	214025	206527	50	-1061.15043
chr26	214056	262013	228545	50	-1139.85282
chr26	262027	282504	276613	50	-1137.60980
chr26	282620	300836	291120	50	-1373.75949
chr26	302487	333635	321170	50	-1045.97702
chr26	333927	353078	342539	50	-1207.20177
chr26	353468	400444	374505	50	-1184.84158
chr26	400461	433946	419954	50	-1476.21920
chr26	437075	471910	454597	50	-1190.46909
chr26	473099	495690	483378	50	-1157.36551
chr26	497494	523273	509516	50	-1187.87868
chr26	524799	545025	534371	50	-1552.43943
chr26	548549	581966	563539	50	-1423.38107
chr26	581982	610524	596579	50	-1247.43347
chr26	610571	660142	638319	50	-1186.72078
chr26	660171	691285	671636	50	-1894.53584
chr26	691286	712958	699618	50	-1598.68890
chr26	712974	743615	726181	50	-1210.89485
chr26	744402	801860	778793	50	-1232.65740
chr26	801896	869999	834284	50	-1469.70918
chr26	871007	953532	916284	50	-1380.26899
chr26	954142	995425	973888	50	-1443.71702
chr26	996496	1036652	1014395	50	-1284.94481
chr26	1036656	1076539	1054628	50	-1473.18899
chr26	1078250	1106713	1092041	50	-1621.48285
chr26	1107305	1174311	1147280	50	-1647.85629
chr26	1174324	1181594	1177688	50	-1219.56685
chr26	1181713	1210582	1192029	50	-1362.59674
chr26	1210584	1252058	1235827	50	-1431.52722
chr26	1252773	1295093	1278144	50	-1238.22643
chr26	1295131	1310272	1301506	50	-1328.37037
chr26	1313173	1341179	1327508	50	-1303.09953
chr26	1343018	1403719	1372938	50	-1316.39404
chr26	1423018	1462312	1446854	50	-1318.72570
chr26	1464114	1489613	1477096	50	-1636.39192
chr26	1489804	1502921	1496127	50	-1445.14967
chr26	1502927	1527962	1517102	50	-1333.68053
chr26	1528100	1547843	1538710	50	-1516.61468
chr26	1548823	1572068	1558955	50	-1270.65401
chr26	1572633	1593749	1579898	50	-1409.93957
chr26	1593767	1614681	1609413	50	-1433.64802
chr26	1614997	1634927	1624972	50	-1465.75439
chr26	1637942	1660840	1650896	50	-1350.45729
chr26	1660846	1682381	1672915	50	-1122.62590
chr26	1682957	1703210	1694184	50	-1266.57348
chr26	1705046	1727892	1718595	50	-1372.97103
chr26	1728093	1755163	1740991	50	-1273.89455
chr26	1756735	1766312	1762231	50	-1374.40519
chr26	1766381	1814373	1784600	50	-1498.63813
chr26	1814379	1862282	1840766	50	-1611.38261
chr26	1869663	1956225	1912181	50	-1555.46755
chr26	1956230	2008742	1983220	50	-922.22758
chr26	2008961	2096371	2032432	50	-1490.78683
chr26	2096373	2214995	2139900	50	-1510.76700
chr26	2215004	2336337	2285949	50	-1951.03693
chr26	2336346	2592247	2401649	50	-1782.13502
chr26	2592249	2842291	2705327	50	-1669.04864
chr26	2842300	3118864	3035532	50	-1096.49091
chr26	3118933	3180340	3169383	50	-1339.93908
chr26	3180342	3181018	3180581	50	-1958.40843
chr26	3182121	3228617	3193778	50	-1009.00789
chr26	3245438	3319142	3294690	50	-701.31761
chr26	3319168	3346511	3333671	50	-665.00646
chr26	3348076	3382442	3370766	50	-540.70552
chr26	3382474	3409016	3395420	50	-630.74640
chr26	3409113	3439937	3422456	50	-643.91171
chr26	3439958	3472104	3455495	50	-514.33232
chr26	3473200	3520432	3499922	50	-786.86647
chr26	3520570	3555830	3536846	50	-727.35886
chr26	3557288	3606938	3588532	50	-702.08635
chr26	3606972	3639251	3623342	50	-549.80315
chr26	3639379	3669492	3655908	50	-759.84946
chr26	3669564	3706076	3683546	50	-731.22718
chr26	3708531	3751504	3722271	50	-615.01025
