scaffold	start	end	mid	sites	lnL
chr6	239	236895	109674	50	-1616.05200
chr6	243969	351322	296421	50	-1800.54761
chr6	351474	437688	388397	50	-1896.55827
chr6	438292	528048	480542	50	-1778.83070
chr6	533412	599607	577906	50	-1853.06603
chr6	601031	703034	637148	50	-2081.97268
chr6	704688	841289	781084	50	-1815.52593
chr6	843420	1010677	941745	50	-1884.99239
chr6	1011445	1348933	1205664	50	-1635.05906
chr6	1353028	1803702	1596298	50	-1813.95279
chr6	1804164	2515675	2131078	50	-1787.07803
chr6	2515818	2886646	2679032	50	-2042.14971
chr6	2905902	3187976	3035774	50	-1992.94576
chr6	3189661	3351133	3255571	50	-1896.58811
chr6	3362253	3518268	3443001	50	-1806.84426
chr6	3525970	3640760	3570868	50	-1859.50875
chr6	3644539	3817057	3704854	50	-1602.43263
chr6	3864367	4215035	4042190	50	-1896.46816
chr6	4222022	4329362	4280591	50	-1974.23593
chr6	4329369	4383063	4339951	50	-2059.17795
chr6	4383446	4611178	4513153	50	-1960.96967
chr6	4621687	5021561	4818847	50	-2001.88409
chr6	5021681	5383285	5218649	50	-2019.57565
chr6	5387748	5517573	5451254	50	-1892.08845
chr6	5518703	5700903	5607464	50	-1897.08950
chr6	5703585	5854390	5761150	50	-1653.30745
chr6	5854403	6053985	5953044	50	-1879.83261
chr6	6064380	6396113	6222465	50	-2134.51885
chr6	6398283	6589302	6500812	50	-2224.68046
chr6	6591420	6752711	6667796	50	-1741.91010
chr6	6756585	6978088	6866329	50	-1657.92385
chr6	6991120	7485841	7175566	50	-1574.54905
chr6	7486278	7856087	7738364	50	-1797.85941
chr6	7856094	8027865	7946052	50	-1746.93576
chr6	8028301	8081096	8052749	50	-1694.98206
chr6	8081135	8189298	8134767	50	-1849.71969
chr6	8189372	8314098	8239776	50	-1956.05638
chr6	8314925	8497269	8415910	50	-1800.04011
chr6	8497292	8778209	8626459	50	-1475.79885
chr6	8796498	9034620	8921500	50	-1577.65498
chr6	9038891	9268389	9183703	50	-1781.63500
chr6	9268390	9623531	9488766	50	-1679.95364
chr6	9626105	9769674	9698935	50	-1610.67396
chr6	9770196	9932404	9880047	50	-2111.54169
chr6	9933029	10039131	9985220	50	-2362.19318
chr6	10039458	10091169	10072124	50	-1995.48008
chr6	10093569	10249382	10186595	50	-1754.01439
chr6	10252472	10455328	10319234	50	-1932.17545
chr6	10455358	10813200	10641403	50	-1716.02493
chr6	10813346	11216833	11028454	50	-1751.66907
chr6	11220247	11493774	11345329	50	-1727.57558
chr6	11497296	11669875	11605581	50	-1465.71940
chr6	11670180	11900144	11787823	50	-1476.01581
chr6	11900420	12022100	11959442	50	-1743.74796
chr6	12022134	12144506	12083494	50	-1677.57161
chr6	12144527	12286230	12225665	50	-1715.57715
chr6	12287880	12345336	12313819	50	-2120.26056
chr6	12349221	12448465	12399955	50	-1972.71323
chr6	12448474	12543252	12490711	50	-1861.38916
chr6	12544977	12603722	12583328	50	-2040.95270
chr6	12611362	12715629	12673098	50	-1759.31120
chr6	12715683	12809604	12764777	50	-1911.69499
chr6	12818195	12886813	12858207	50	-2046.71585
chr6	12886921	12969941	12929123	50	-2242.96166
chr6	12971731	13004020	12990294	50	-2216.78183
chr6	13004046	13043544	13023123	50	-1938.36627
chr6	13044002	13124663	13084625	50	-2045.93222
chr6	13127761	13198414	13155877	50	-1894.69910
chr6	13206157	13308810	13287403	50	-2176.81218
chr6	13310987	13370630	13332349	50	-1887.97904
chr6	13373092	13441788	13416802	50	-2362.75865
chr6	13445159	13495187	13473238	50	-2264.15671
chr6	13495255	13518433	13508069	50	-1743.45677
chr6	13520401	13618027	13553233	50	-2066.63828
chr6	13618312	13691460	13667195	50	-1836.09618
chr6	13694099	13775079	13717503	50	-1823.25934
chr6	13775147	13854744	13830860	50	-2179.21935
chr6	13855833	13898136	13878244	50	-2226.67583
chr6	13899102	13939290	13922082	50	-2053.35959
chr6	13939329	13961888	13951955	50	-2027.79767
chr6	13962093	13999617	13979705	50	-2263.40596
chr6	14002096	14025280	14016044	50	-2352.85199
chr6	14025294	14056944	14044842	50	-2388.77539
chr6	14057039	14088907	14072457	50	-1912.54830
chr6	14089033	14147585	14105532	50	-1725.25912
chr6	14149225	14218137	14196274	50	-2235.59304
chr6	14218512	14265612	14245603	50	-2170.79191
chr6	14268152	14323741	14290710	50	-2357.35988
chr6	14323914	14459566	14360315	50	-2092.11992
chr6	14459641	15180578	14829749	50	-1331.07373
chr6	15191228	15443715	15335609	50	-1457.54120
chr6	15449149	15706060	15597268	50	-1989.04740
chr6	15706201	15933227	15813269	50	-1848.06121
chr6	15940527	16317098	16118222	50	-1705.00307
chr6	16317542	16492290	16396065	50	-1705.84168
chr6	16493023	16731168	16592453	50	-1848.96063
chr6	16731184	17051163	16916438	50	-1694.33129
chr6	17063378	17175276	17124794	50	-1648.02502
chr6	17176573	17298972	17236626	50	-1810.73414
chr6	17302664	17441125	17376023	50	-1960.89849
chr6	17444566	17614942	17522890	50	-1595.42663
chr6	17621692	17769711	17689416	50	-1757.25147
chr6	17771034	17991952	17896913	50	-1660.38801
chr6	18001116	18287929	18136709	50	-1758.88917
chr6	18287981	18425313	18361835	50	-1632.65951
chr6	18425380	18546798	18492304	50	-1796.62147
chr6	18546800	18691945	18631703	50	-1781.32961
chr6	18697282	18814396	18746111	50	-2170.93253
chr6	18814686	18880627	18853131	50	-1720.16319
chr6	18880860	19009394	18945311	50	-1547.98627
chr6	19017341	19134659	19079887	50	-1828.27116
chr6	19136188	19298900	19236167	50	-1625.20713
chr6	19300704	19361290	19328904	50	-1760.57422
chr6	19361300	19486048	19418513	50	-1707.83552
chr6	19486877	19577527	19533814	50	-1920.19930
chr6	19577596	19687368	19648274	50	-1976.46753
chr6	19687491	19771277	19730734	50	-1846.74192
chr6	19771463	19900713	19827319	50	-2096.26147
chr6	19906417	20049946	19980665	50	-1753.08220
chr6	20050001	20242587	20124665	50	-1993.31076
chr6	20246169	20376635	20313121	50	-1858.05685
chr6	20376874	20560987	20454050	50	-1761.93802
chr6	20564555	20681858	20613565	50	-1772.12540
chr6	20685552	20875127	20758752	50	-1469.57329
chr6	20875349	21112286	20956317	50	-1639.59080
chr6	21126676	21364307	21245099	50	-1475.21650
chr6	21364486	21488174	21429879	50	-1515.27539
chr6	21493920	22081599	21775411	50	-1406.37083
chr6	22149720	22923414	22585864	50	-1286.20283
chr6	22923571	23232249	23069853	50	-1512.03138
chr6	23244540	23600259	23454611	50	-1355.81416
chr6	23600542	23773048	23669520	50	-1532.31150
chr6	23776901	23987731	23908156	50	-1755.26333
chr6	23987795	24162732	24074307	50	-1610.30867
chr6	24167557	24270861	24217385	50	-1819.15974
chr6	24271170	24545696	24417039	50	-1453.20498
