scaffold	start	end	mid	sites	lnL
chrZ	457616	1334305	843441	50	-898.70257
chrZ	1334317	1888861	1683832	50	-1713.23526
chrZ	1888903	1889521	1889182	50	-1583.71311
chrZ	1889524	2481681	2063210	50	-1310.05483
chrZ	2742112	3311166	2778695	50	-1910.55032
chrZ	3311192	6652256	4487494	50	-1563.19562
chrZ	6652270	8022612	7096980	50	-1657.43561
chrZ	8022674	11203553	10233049	50	-1696.85230
chrZ	11203555	11203976	11203768	50	-1425.58290
chrZ	11203978	11204327	11204133	50	-1813.41441
chrZ	11204332	11205397	11204935	50	-1527.54163
chrZ	11205401	11206842	11206270	50	-1591.66568
chrZ	11206844	11207657	11207133	50	-1501.12710
chrZ	11207662	11208368	11207983	50	-1645.17564
chrZ	11208371	11208788	11208584	50	-1660.16190
chrZ	11208790	11209221	11209003	50	-1876.02224
chrZ	11209223	11211955	11209702	50	-1497.85750
chrZ	11211962	11217496	11215733	50	-1395.17743
chrZ	11217500	11223114	11219129	50	-1638.28017
chrZ	11223116	11223705	11223338	50	-1416.80181
chrZ	11223715	11224150	11223985	50	-1127.07101
chrZ	11224160	11224645	11224433	50	-1290.16769
chrZ	11224786	11233512	11228347	50	-1900.12546
chrZ	11233520	11234148	11233701	50	-1691.61060
chrZ	11234149	11237210	11236095	50	-2030.14830
chrZ	11237213	11237795	11237499	50	-1447.26264
chrZ	11237797	11238076	11237950	50	-1519.78444
chrZ	11238085	11246166	11242683	50	-1087.03327
chrZ	11246191	11251034	11249637	50	-1451.57200
chrZ	11251041	11322977	11255628	50	-1388.53716
chrZ	11322987	11442150	11381732	50	-1252.90778
chrZ	11442160	11446379	11443454	50	-1369.48925
chrZ	11446384	11447150	11446680	50	-1156.48880
chrZ	11447166	11592224	11466623	50	-1598.51530
chrZ	11592235	11697710	11666027	50	-1495.82974
chrZ	11697760	11704560	11700641	50	-1169.73128
chrZ	11704809	11710204	11707850	50	-1104.81624
chrZ	11710222	11721338	11713372	50	-1514.29167
chrZ	11721347	11724259	11722038	50	-1391.89932
chrZ	11724284	11731838	11727396	50	-862.59244
chrZ	11731876	11958833	11762435	50	-1253.81916
chrZ	12088977	12089475	12089304	50	-1440.60077
chrZ	12089477	12089904	12089660	50	-1401.48025
chrZ	12089905	12090185	12090029	50	-1079.47702
chrZ	12090187	12090568	12090372	50	-1417.18182
chrZ	12090588	12091304	12090817	50	-1421.92918
chrZ	12091305	12091549	12091421	50	-1603.94016
chrZ	12091561	12094056	12092267	50	-1506.86396
chrZ	12094196	12112560	12111682	50	-1058.52567
chrZ	12112561	12113185	12112992	50	-2034.14807
chrZ	12113197	12118879	12118317	50	-2113.59312
chrZ	12128459	12128813	12128604	50	-1325.39496
chrZ	12128821	12135410	12132918	50	-1927.72128
chrZ	12135411	12136435	12135777	50	-1604.11239
chrZ	12136456	12136756	12136619	50	-1894.62081
chrZ	12136762	12137083	12136935	50	-1364.02164
chrZ	12137099	12140119	12139050	50	-1985.10142
chrZ	12140124	12146320	12141437	50	-2095.90072
chrZ	12146323	12146656	12146483	50	-1977.78672
chrZ	12146661	12147297	12147126	50	-1598.48898
chrZ	12147315	12147593	12147446	50	-2038.18291
chrZ	12147597	12155326	12151862	50	-1964.48597
chrZ	12155327	12157492	12155812	50	-1187.68608
chrZ	12157512	12158325	12157979	50	-1836.24190
chrZ	12158331	12160489	12158757	50	-1317.75612
chrZ	12160495	12205146	12187634	50	-1837.99627
chrZ	12205147	12205335	12205245	50	-2241.66738
chrZ	12205339	12459307	12345390	50	-1409.14089
chrZ	12459308	12479724	12474867	50	-1445.21704
chrZ	12479753	13076008	12846017	50	-1937.41684
chrZ	13076009	13076189	13076093	50	-1657.51786
chrZ	13076192	13446941	13244019	50	-2254.03900
chrZ	13446945	14091049	13975048	50	-2047.96205
chrZ	14091053	14181676	14123681	50	-1927.18686
chrZ	14181684	14182267	14181997	50	-1192.09126
chrZ	14182276	14182519	14182410	50	-1246.31785
chrZ	14182520	14288414	14189492	50	-1591.84499
chrZ	14288420	14928625	14826034	50	-1361.05814
chrZ	14928650	15258282	15192567	50	-1346.91496
chrZ	15258288	16421715	15580129	50	-1720.21148
chrZ	16421718	17401758	17127888	50	-1582.10476
chrZ	17401760	17402133	17401920	50	-1526.39381
chrZ	17402135	18043700	17510877	50	-2250.46598
chrZ	18043713	18043949	18043835	50	-1100.59480
chrZ	18043955	18044183	18044054	50	-877.33411
chrZ	18044186	18044406	18044301	50	-838.09114
chrZ	18044434	18849521	18321293	50	-1209.96322
chrZ	18849577	19495579	19111042	50	-2044.69022
chrZ	19495580	19495743	19495662	50	-1956.49654
chrZ	19495752	19554815	19509952	50	-2333.35240
chrZ	19554829	20862522	20066387	50	-1308.73493
chrZ	20862523	20865696	20863105	50	-1138.40233
chrZ	20865702	20866153	20865940	50	-997.73240
chrZ	20866154	20866689	20866372	50	-1123.81403
chrZ	20866690	20867189	20867031	50	-906.42071
chrZ	20867201	20867518	20867374	50	-1176.77077
chrZ	20867529	20867794	20867672	50	-1049.57886
chrZ	20867798	20872260	20870289	50	-1689.36155
