scaffold	start	end	mid	sites	lnL
chr1A	9030	700988	398165	250	-14667.12162
chr1A	702489	1052648	890256	250	-15534.76911
chr1A	1058487	1455534	1226793	250	-15526.20006
chr1A	1456727	1804623	1639371	250	-17323.55760
chr1A	1804852	1852020	1825456	250	-15997.58386
chr1A	1852021	2064051	1965993	250	-18333.09433
chr1A	2064058	2454903	2322969	250	-16640.15281
chr1A	2460262	2954665	2712849	250	-14439.33565
chr1A	2954693	4112642	3588157	250	-15206.91435
chr1A	4115175	4482336	4307416	250	-15543.86213
chr1A	4495333	4735130	4622422	250	-16175.77178
chr1A	4735332	4920999	4819622	250	-16384.72598
chr1A	4921226	5064423	5005469	250	-15638.08307
chr1A	5065001	5179514	5127216	250	-16644.34231
chr1A	5182907	5344167	5257065	250	-15528.47566
chr1A	5344480	5706187	5477521	250	-14578.57602
chr1A	5708231	6002079	5855384	250	-16320.84309
chr1A	6003187	6368256	6205989	250	-16961.08884
chr1A	6368295	6502404	6441478	250	-16074.51037
chr1A	6502410	6507252	6504877	250	-14998.67365
chr1A	6507253	7004702	6640247	250	-15900.35610
chr1A	7006568	8407678	7608723	250	-15338.33333
chr1A	8440031	9169878	8887388	250	-14564.32055
chr1A	9174873	9860325	9466002	250	-14153.71745
chr1A	9860395	10329580	10136840	250	-15998.68694
chr1A	10329586	10655441	10551153	250	-16464.59840
chr1A	10655592	10926794	10795772	250	-15586.85085
chr1A	10926812	11046346	11023834	250	-16559.26690
chr1A	11046350	11270335	11132314	250	-15424.19145
chr1A	11270365	11415519	11324449	250	-15674.98709
chr1A	11415603	11767095	11587722	250	-15423.84228
chr1A	11767097	11896579	11839175	250	-14778.68336
chr1A	11896642	12254213	12026838	250	-15856.54855
chr1A	12254695	12478060	12417817	250	-15906.91824
chr1A	12478087	12678274	12560295	250	-16363.10413
chr1A	12678292	12949626	12839974	250	-15482.02541
chr1A	12949642	13211835	13087625	250	-15452.44553
chr1A	13211845	13407059	13323717	250	-14255.30327
chr1A	13407061	13613072	13489547	250	-15615.63618
chr1A	13614635	14132243	13756886	250	-15807.05505
chr1A	14132286	16179206	15112825	250	-15892.59920
chr1A	16180773	17134777	16571705	250	-14676.94421
chr1A	17134786	17578210	17417386	250	-14491.28452
chr1A	17578212	17968400	17755887	250	-16464.43055
chr1A	17968926	18792879	18274738	250	-16160.17194
chr1A	18792906	19428241	19238165	250	-13795.58567
chr1A	19428245	20024776	19617912	250	-15397.24459
chr1A	20032405	20654597	20348515	250	-14088.22420
chr1A	20654624	21566295	21041820	250	-15471.29051
chr1A	21566298	21657125	21625290	250	-15290.56994
chr1A	21657159	22036620	21811692	250	-16848.81225
chr1A	22036643	22295304	22154054	250	-14154.90816
chr1A	22300394	22767085	22452818	250	-15632.95010
chr1A	22770534	23741787	23280514	250	-15191.23667
chr1A	23742041	24220795	24032822	250	-14278.53973
chr1A	24220820	25130890	24491618	250	-15619.68808
chr1A	25131492	25877830	25564409	250	-14713.09519
chr1A	25878270	26428006	26182038	250	-14076.72094
chr1A	26428137	26850860	26654324	250	-15050.88079
chr1A	26854946	27204978	27055092	250	-15923.48743
chr1A	27206312	27658056	27449330	250	-14184.36843
chr1A	27658586	27975216	27840600	250	-15025.94991
chr1A	27975221	28244529	28102933	250	-13575.01201
chr1A	28244773	29603711	28808643	250	-15938.99467
chr1A	29603735	30099213	29913232	250	-14061.47377
chr1A	30101657	30426223	30287476	250	-15203.49408
chr1A	30427307	30582216	30497923	250	-14828.03814
chr1A	30582280	30886141	30710966	250	-14194.83863
chr1A	30886158	31219004	31063794	250	-14585.31116
chr1A	31219431	31642173	31392706	250	-15547.54335
chr1A	31646902	31833437	31751005	250	-15307.02971
chr1A	31833555	32082734	31956804	250	-16630.86129
chr1A	32082803	32385334	32240228	250	-14454.11768
chr1A	32387174	32604955	32512973	250	-15172.92000
chr1A	32611702	32861023	32727597	250	-13712.81582
chr1A	32861227	33289916	33110395	250	-15594.25535
chr1A	33289917	33644776	33427604	250	-13183.51241
chr1A	33645050	34481221	34088486	250	-13059.61730
chr1A	34481259	34668071	34604427	250	-14046.50897
chr1A	34669223	34957141	34772663	250	-14041.65986
chr1A	34970235	35434173	35142519	250	-15561.81642
chr1A	35445095	36181049	35824582	250	-13934.96013
chr1A	36181058	36748250	36451510	250	-16301.09648
chr1A	36748331	37412341	37017547	250	-13191.20613
chr1A	37412342	39563343	38258649	250	-14242.00924
chr1A	39563494	40202894	39920292	250	-14018.20136
chr1A	40202909	40960024	40711843	250	-15616.26612
chr1A	40968815	41288190	41147698	250	-13029.38651
chr1A	41288193	41600381	41471343	250	-13877.90681
chr1A	41600475	41857487	41735968	250	-15148.80186
chr1A	41861479	42141007	42028813	250	-16114.16077
chr1A	42141308	42219451	42175900	250	-14879.54419
chr1A	42219455	42303629	42283907	250	-13984.52020
chr1A	42303630	42745959	42444701	250	-15752.67198
chr1A	42747633	43250715	43050704	250	-14679.61268
chr1A	43250729	43844160	43526931	250	-14603.70752
chr1A	43844170	44218116	44116479	250	-14943.28326
chr1A	44219821	44439368	44373195	250	-14640.90625
chr1A	44439418	44523600	44478080	250	-16578.50642
chr1A	44523601	44690638	44606211	250	-17960.63299
chr1A	44690696	44811534	44747006	250	-14731.95713
chr1A	44811610	44916401	44867068	250	-12688.25374
chr1A	44916402	45071804	44993168	250	-11635.33917
chr1A	45072587	45337521	45171528	250	-15941.54416
chr1A	45337691	45596454	45485687	250	-15229.89175
chr1A	45596978	45684352	45639275	250	-16416.54532
chr1A	45684417	45847951	45809400	250	-14468.18942
chr1A	45847952	45854110	45851246	250	-12393.08647
chr1A	45854119	45861740	45857699	250	-12261.33954
chr1A	45861786	45909298	45885741	250	-15174.87764
chr1A	45909650	45968942	45941760	250	-16350.27241
chr1A	45969072	46034329	45999646	250	-16653.16160
chr1A	46034554	46131622	46086797	250	-16161.69123
chr1A	46132939	46223293	46178525	250	-15422.91376
chr1A	46223340	46318515	46272439	250	-16409.66646
chr1A	46318929	46464249	46399568	250	-16331.02309
chr1A	46464362	46644194	46571517	250	-17572.47675
chr1A	46644196	46859158	46729053	250	-16950.90344
chr1A	46859190	47014023	46939928	250	-16175.40319
chr1A	47014665	47164667	47109169	250	-17769.63657
chr1A	47167410	47256520	47213181	250	-16528.11890
chr1A	47256636	47335153	47294538	250	-15308.76232
chr1A	47335176	47452242	47396957	250	-16688.73686
chr1A	47452994	47576104	47515707	250	-14732.71668
chr1A	47576187	47679874	47637205	250	-14489.88785
chr1A	47679931	47743086	47705852	250	-14002.52664
chr1A	47743261	47809569	47778462	250	-16097.05412
chr1A	47809570	47863479	47831569	250	-15023.15413
chr1A	47864938	47917836	47890714	250	-14847.24854
chr1A	47917884	48001842	47958250	250	-15551.33786
chr1A	48002386	48130391	48068954	250	-16079.23452
chr1A	48130414	48243855	48185710	250	-16376.60053
chr1A	48243945	48447907	48368489	250	-15882.10268
chr1A	48448015	48584109	48505949	250	-14091.89757
chr1A	48584364	48762293	48678211	250	-14569.68920
chr1A	48762295	48859851	48804773	250	-12615.31756
chr1A	48859859	48943587	48890886	250	-14620.80645
chr1A	48943788	49195493	49031699	250	-13479.71114
chr1A	49196375	49689665	49470517	250	-13329.15726
chr1A	49692128	49892904	49796430	250	-13529.79756
chr1A	49892918	50086404	49976826	250	-14889.31523
chr1A	50086624	50207206	50151710	250	-12923.30727
chr1A	50207561	50383341	50278848	250	-14945.27435
chr1A	50383607	50631058	50539831	250	-15290.11655
chr1A	50632750	50847218	50740889	250	-13227.66327
chr1A	50847252	51108221	50978639	250	-13318.22563
chr1A	51108320	51394118	51229520	250	-12465.35156
chr1A	51394129	51638107	51490030	250	-14187.08431
chr1A	51656117	52406093	52030488	250	-12768.50220
chr1A	52407900	53105722	52747714	250	-13699.51962
chr1A	53105733	53893880	53531168	250	-14088.47317
chr1A	53893881	54089548	54046465	250	-16442.11920
chr1A	54089550	54262624	54164029	250	-14354.32139
chr1A	54262632	54286611	54278143	250	-16091.70127
chr1A	54286613	54451654	54342577	250	-15595.09519
chr1A	54451657	55104255	54720443	250	-10976.48442
chr1A	55105824	55456912	55289331	250	-14818.14955
chr1A	55456990	55874839	55697790	250	-13909.56809
chr1A	55874868	56102113	55994739	250	-13360.59963
chr1A	56103223	56233874	56167566	250	-13402.85501
chr1A	56234488	56463345	56357594	250	-14785.07332
chr1A	56463696	56670513	56584594	250	-13882.18080
chr1A	56670643	56788406	56718842	250	-13646.80909
