Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr17	chr18	chr19	chr20	chr21	chr22	chr23	chr24	chr26	chr27	chr28	chr1A	chrZ	scaffold00169	scaffold00189	scaffold00221	scaffold00223	scaffold00224	scaffold00238	scaffold00239	scaffold00242	scaffold00248
Crotone498	8.68836	8.842199999999998	8.8832	8.832559999999999	8.73235	8.659510000000001	8.97015	8.50745	8.520199999999999	8.656210000000002	8.68671	8.6434	8.28692	8.157350000000001	8.05388	8.18691	7.643379999999999	7.787050000000001	8.01567	7.104130000000001	6.20992	6.295610000000001	6.827520000000001	6.40408	6.7327900000000005	6.855650000000001	8.85664	8.16839	6.60402	8.55935	6.52656	11.359980000000004	4.41594	8.90981	6.99886	10.00742	6.8913199999999994
Crotone500	6.771860000000001	6.87127	7.043089999999999	6.897419999999999	7.099600000000002	7.28603	7.436019999999999	7.272659999999998	7.400010000000002	7.467880000000001	7.3950499999999995	7.66817	7.346579999999999	7.19768	7.413689999999999	7.718299999999999	6.98434	7.231440000000001	7.40868	6.71545	5.92005	5.991	6.62617	6.147850000000001	6.227569999999999	6.4407000000000005	7.03847	6.3070200000000005	6.353629999999999	5.9475299999999995	6.156619999999999	10.154470000000003	4.0847	8.609429999999998	6.608350000000001	8.079709999999999	6.60121
Crotone501	7.845420000000001	7.9886	8.072659999999999	7.99878	8.0226	8.063260000000001	8.299539999999999	8.01005	8.0425	8.166059999999998	8.19809	8.212579999999999	7.945779999999999	7.82512	7.861459999999999	8.14169	7.513439999999999	7.633839999999999	7.886659999999999	7.021540000000002	6.300809999999999	6.36815	6.83679	6.572329999999999	6.78866	6.98688	8.05789	7.378640000000001	6.609509999999999	7.4358900000000006	6.54874	10.841810000000002	4.63922	9.110769999999999	6.80289	9.28339	6.768059999999999
Crotone502	7.481859999999999	7.590490000000003	7.700430000000001	7.59882	7.69936	7.77525	7.966179999999998	7.744150000000001	7.790430000000001	7.910630000000001	7.89123	8.02246	7.760259999999999	7.64274	7.76735	8.162600000000001	7.395520000000001	7.558630000000001	7.75957	6.9522900000000005	6.28352	6.38969	6.85483	6.613239999999999	6.851799999999999	7.014569999999999	7.674440000000001	7.010529999999999	6.602539999999999	6.94904	6.571189999999999	10.585410000000003	4.36534	9.11794	6.933709999999999	8.937359999999998	6.63202
Crotone505	6.7911600000000005	6.89218	6.98285	6.884329999999999	6.985130000000001	7.0267	7.183389999999999	6.98002	7.02674	7.134359999999999	7.08727	7.157920000000001	6.94786	6.88649	6.964049999999999	7.225520000000001	6.569350000000001	6.745839999999999	6.9041500000000005	6.2101	5.56872	5.662000000000001	6.06644	5.80648	6.033399999999999	6.197830000000001	6.96807	6.380910000000001	5.94182	6.35883	5.83938	9.6445	3.87655	7.8917	6.19148	7.830570000000002	5.81779
Crotone510	6.2394799999999995	6.281719999999999	6.46856	6.34866	6.64455	6.8408299999999995	6.91658	6.980300000000001	7.061249999999999	7.149550000000001	7.10679	7.40973	7.264610000000001	7.190809999999999	7.412369999999999	8.04858	7.13302	7.3686799999999995	7.495710000000001	6.77367	6.39518	6.519259999999999	6.9019900000000005	6.84818	7.053599999999999	7.223190000000001	6.4743900000000005	5.8236300000000005	6.58212	5.45085	6.6597800000000005	10.827810000000001	4.589340000000001	8.77334	6.8878	7.9040099999999995	6.22426
Crotone512	7.334199999999999	7.431290000000001	7.591570000000001	7.466480000000001	7.6284600000000005	7.782920000000001	7.96575	7.759630000000001	7.855029999999999	7.947379999999999	7.900790000000001	8.09862	7.8022300000000016	7.678799999999999	7.83306	8.196340000000001	7.44262	7.6508600000000015	7.874129999999999	7.078039999999998	6.28283	6.388920000000001	6.95844	6.52018	6.731469999999999	6.94046	7.57499	6.88696	6.68075	6.6461500000000004	6.50009	11.09075	4.42926	9.25286	7.00558	9.086770000000001	6.903489999999999
Crotone514	7.860239999999999	7.98011	8.090160000000001	7.99545	8.02669	8.115639999999999	8.326920000000001	8.01292	8.08113	8.18802	8.16698	8.244349999999999	7.91718	7.783329999999999	7.86354	8.03995	7.431049999999999	7.57235	7.847580000000001	7.007490000000001	6.17942	6.23377	6.781129999999999	6.393230000000001	6.661149999999999	6.773929999999999	8.07769	7.3561700000000005	6.5317	7.327639999999999	6.41043	10.67432	4.51419	8.963719999999999	6.790690000000001	9.39027	6.874809999999999
Crotone517	8.31223	8.448220000000001	8.480050000000002	8.438699999999999	8.31984	8.23446	8.529169999999999	8.096729999999999	8.07931	8.222949999999999	8.25121	8.16523	7.875499999999999	7.747350000000001	7.698430000000002	7.8758300000000006	7.262360000000001	7.41053	7.671239999999999	6.7708699999999995	5.92247	5.9732	6.509119999999999	6.15042	6.45705	6.58177	8.42655	7.8136800000000015	6.267079999999999	8.220970000000001	6.140179999999999	10.72572	4.0778	8.69454	6.6431700000000005	9.603390000000001	6.556720000000001
Crotone518	8.505830000000001	8.657010000000001	8.776969999999999	8.66867	8.74156	8.841619999999999	9.07047	8.7613	8.86107	8.952060000000001	8.94378	9.034600000000001	8.69724	8.56271	8.64551	8.91031	8.174459999999998	8.364149999999999	8.652239999999999	7.64465	6.7900599999999995	6.865079999999999	7.477360000000001	7.00933	7.266300000000001	7.480700000000001	8.77365	7.933480000000001	7.1903700000000015	7.939489999999999	7.08666	12.212650000000002	4.8924	9.72569	7.416930000000001	9.87066	7.56067
FR041	14.996279999999999	15.215069999999997	15.263079999999999	15.200310000000002	15.047820000000002	14.965219999999999	15.431750000000001	14.683279999999998	14.70232	14.689390000000001	14.894169999999999	14.94727	14.370700000000001	14.1381	14.047000000000002	14.26868	13.355349999999998	13.58656	14.03968	12.56469	11.121680000000001	11.121160000000001	12.088559999999998	11.52211	12.00473	12.197750000000001	15.2153	7.200679999999998	11.936309999999999	7.35332	11.3511	19.60168000000001	8.19225	16.3587	12.09042	15.685039999999997	11.829170000000001
FR044	20.9135	21.233179999999997	21.317510000000002	21.22677	21.051129999999997	20.924039999999998	21.594140000000003	20.640629999999998	20.64373	20.629869999999997	20.99934	21.002790000000005	20.268270000000005	19.91674	19.72776	20.189280000000007	18.92865	19.17194	19.889909999999997	17.721790000000002	15.860419999999998	15.8799	17.15495	16.36181	16.9124	17.23841	21.2584	10.07911	16.63516	10.3351	16.340349999999997	26.66739	11.281620000000002	22.233670000000004	17.33305	21.41949	16.778409999999997
