scaffold	start	end	mid	sites	lnL
chr1A	59766	403185	222024	50	-2022.58919
chr1A	448125	717465	579077	50	-1963.16302
chr1A	720405	1021530	865447	50	-1732.34525
chr1A	1021547	1149572	1075830	50	-1867.97201
chr1A	1189431	1373086	1275361	50	-2077.13928
chr1A	1382868	1623058	1518418	50	-2103.25314
chr1A	1623179	1816073	1760449	50	-2251.23114
chr1A	1816115	1912719	1843897	50	-1860.43796
chr1A	1912760	2023680	1966063	50	-2246.16814
chr1A	2033664	2297841	2149062	50	-2002.41551
chr1A	2297961	2479720	2400533	50	-2113.22234
chr1A	2479833	2852836	2671940	50	-1580.41611
chr1A	2854495	3352319	3030063	50	-1719.85777
chr1A	3367574	4044551	3798339	50	-1557.16495
chr1A	4053543	4342038	4208773	50	-1709.98188
chr1A	4342347	4552828	4446223	50	-2099.64393
chr1A	4553118	4706857	4635831	50	-2093.73709
chr1A	4706878	4818115	4768975	50	-1739.34225
chr1A	4821415	4991523	4914570	50	-1817.05246
chr1A	4994549	5091091	5035432	50	-1830.14489
chr1A	5093107	5169831	5135774	50	-2238.37265
chr1A	5175440	5279458	5226957	50	-1767.09038
chr1A	5281428	5451277	5367561	50	-1673.45588
chr1A	5451331	5737724	5583871	50	-1814.00581
chr1A	5737863	6018246	5898817	50	-1455.52197
chr1A	6018269	6503388	6280619	50	-1811.08772
chr1A	6503448	6917221	6639787	50	-1666.23504
chr1A	6933034	7499668	7212364	50	-1728.39190
chr1A	7499670	8004680	7715849	50	-1643.72043
chr1A	8034541	8858712	8552871	50	-1688.21652
chr1A	8858720	9329206	9126666	50	-1615.23719
chr1A	9329454	9848451	9557064	50	-1627.39945
chr1A	9848930	10192652	10028187	50	-1830.49077
chr1A	10192739	10449743	10312776	50	-1834.26496
chr1A	10449870	10649641	10572275	50	-1923.73175
chr1A	10653769	10813701	10730255	50	-1855.37403
chr1A	10821510	11049797	10925042	50	-1650.46047
chr1A	11049857	11254891	11144805	50	-1837.42754
chr1A	11255201	11334444	11296968	50	-1668.37095
chr1A	11335320	11450176	11391934	50	-2000.14966
chr1A	11474019	11719020	11589335	50	-1600.64428
chr1A	11719996	11804907	11771010	50	-1976.90197
chr1A	11807372	11905889	11866737	50	-1995.03044
chr1A	11905893	12037235	11978550	50	-2004.24444
chr1A	12037358	12379408	12201308	50	-1817.83443
chr1A	12382400	12472838	12430801	50	-1937.89083
chr1A	12473482	12550819	12508329	50	-1816.81844
chr1A	12550979	12740405	12648102	50	-2028.45020
chr1A	12752020	12922136	12859883	50	-1951.81935
chr1A	12922865	13073331	13004218	50	-1924.87288
chr1A	13074065	13265103	13189767	50	-1600.19151
chr1A	13267204	13413739	13352184	50	-1972.62746
chr1A	13423273	13590646	13489643	50	-1917.84793
chr1A	13595661	13918807	13687303	50	-1595.73301
chr1A	13922921	14935801	14390618	50	-1524.01230
chr1A	14987255	16253276	15770389	50	-1289.49049
chr1A	16264281	16678252	16428118	50	-1570.43663
chr1A	16678254	17393075	17073758	50	-1554.82335
chr1A	17393135	17578278	17498504	50	-1507.86959
chr1A	17581484	17798454	17666372	50	-1996.80697
chr1A	17802511	18156364	17987369	50	-1361.31891
chr1A	18164270	18585643	18346617	50	-1572.92852
chr1A	18586324	19281265	19009034	50	-1327.42353
chr1A	19288097	19444949	19367917	50	-1428.26737
chr1A	19445373	19821490	19593978	50	-1751.44100
chr1A	19840346	20262056	20069139	50	-1247.99731
chr1A	20284574	20725049	20545616	50	-1256.41664
chr1A	20736246	21508338	21092312	50	-1337.71283
chr1A	21508557	21674294	21623018	50	-1926.93685
chr1A	21674340	21956396	21798961	50	-1623.19219
chr1A	21956493	22150165	22075495	50	-1903.51477
chr1A	22150499	22331254	22231143	50	-1493.86657
chr1A	22334285	22688290	22486640	50	-1763.72970
chr1A	22688385	23517374	23084426	50	-1252.26097
chr1A	23517431	23961512	23760166	50	-1744.07661
chr1A	23961551	24214684	24085795	50	-1780.90218
chr1A	24215081	24527226	24305998	50	-1854.25320
chr1A	24527645	25545357	25155153	50	-1509.99184
chr1A	25545698	25909219	25724494	50	-1558.38446
chr1A	25931638	26352183	26178993	50	-1768.85093
chr1A	26352191	26587283	26475873	50	-1765.47095
chr1A	26590073	26911807	26765375	50	-1630.29572
chr1A	26955973	27275654	27124431	50	-1868.17395
chr1A	27285870	27615413	27465668	50	-1678.02270
chr1A	27619877	27890545	27760318	50	-1832.82229
chr1A	27898316	28079913	27974784	50	-1802.64449
chr1A	28080141	28446996	28214776	50	-1524.68419
chr1A	28447105	29108149	28744278	50	-1302.25011
chr1A	29108615	29999472	29730496	50	-1576.56832
chr1A	30000670	30302186	30173333	50	-1580.88101
chr1A	30303325	30461203	30397299	50	-1727.89318
chr1A	30464833	30653920	30538559	50	-1668.79965
chr1A	30653926	30909496	30748306	50	-1696.23724
chr1A	30913456	31159926	31027633	50	-1637.43694
chr1A	31172544	31360920	31256833	50	-1564.24039
chr1A	31369728	31719366	31564263	50	-1702.32143
chr1A	31719804	31863053	31785871	50	-1984.45125
chr1A	31864338	32028147	31936788	50	-1922.77207
chr1A	32028227	32204003	32112996	50	-1933.91294
chr1A	32212696	32381383	32303069	50	-1830.20138
chr1A	32381468	32565967	32497290	50	-1831.06230
chr1A	32566021	32722093	32659053	50	-1790.91051
chr1A	32728989	32972914	32833138	50	-1666.73859
chr1A	32972933	33255059	33140619	50	-1659.17792
chr1A	33255404	33487744	33358248	50	-1458.59030
chr1A	33488168	34324936	33879305	50	-1465.22027
chr1A	34354437	34604873	34511163	50	-1602.03392
chr1A	34613681	34762107	34681690	50	-1638.44489
chr1A	34763455	35008457	34848753	50	-1703.98051
chr1A	35010395	35263807	35136456	50	-1574.20278
chr1A	35263940	35856440	35585891	50	-1635.75246
chr1A	35856561	36367378	36157875	50	-1362.71495
chr1A	36384775	36748434	36560168	50	-1733.02431
chr1A	36751502	37412211	37069735	50	-1178.90146
chr1A	37412246	38314277	37823684	50	-1565.44411
chr1A	38341520	39862161	39255176	50	-1257.59157
chr1A	39862202	40363609	40056583	50	-1383.79056
chr1A	40387401	40912672	40724285	50	-1335.94420
chr1A	40929422	41227968	41079625	50	-1376.41932
chr1A	41236909	41425843	41331684	50	-1767.50777
chr1A	41427336	41663836	41558203	50	-1723.74320
chr1A	41667248	41894278	41796388	50	-2020.63247
chr1A	41895113	42131614	42009191	50	-2007.10115
chr1A	42135321	42179790	42159277	50	-2292.93748
chr1A	42180027	42327283	42232043	50	-2081.13338
chr1A	42332521	42585649	42459809	50	-1537.60912
chr1A	42597770	43116935	42878321	50	-1407.64548
chr1A	43126022	43392583	43224998	50	-1521.22663
chr1A	43392599	43808364	43629558	50	-1591.06874
chr1A	43821204	44183824	44062859	50	-1512.52365
chr1A	44184549	44364810	44275441	50	-1868.80091
chr1A	44371122	44441584	44417329	50	-1502.18107
chr1A	44441772	44523613	44485162	50	-2316.58867
chr1A	44523617	44665511	44596106	50	-1928.68337
chr1A	44665553	44722825	44694393	50	-1808.24870
chr1A	44722891	44838542	44781569	50	-2089.27081
chr1A	44840331	44962345	44891092	50	-1684.09063
chr1A	44966481	45139950	45060731	50	-1653.34233
chr1A	45142335	45395283	45273833	50	-1775.61166
chr1A	45395563	45584997	45520445	50	-1970.91942
chr1A	45585064	45654568	45623659	50	-2572.71875
chr1A	45655951	45774291	45697608	50	-1601.96825
chr1A	45774444	45867264	45848411	50	-1908.24980
chr1A	45867292	45906120	45886992	50	-1990.34788
chr1A	45906363	45962185	45935518	50	-2413.81234
chr1A	45962423	46002887	45977440	50	-1927.00388
chr1A	46002890	46072170	46028579	50	-2237.54162
chr1A	46074241	46126423	46097557	50	-2142.50322
chr1A	46132696	46179734	46154604	50	-1944.18179
chr1A	46189908	46249412	46215094	50	-1984.69638
chr1A	46251496	46322539	46297698	50	-1945.90751
chr1A	46325933	46440949	46406931	50	-1779.87550
chr1A	46445223	46569890	46504650	50	-2178.02934
chr1A	46586528	46657503	46631357	50	-2131.60048
chr1A	46658058	46856993	46751828	50	-1898.97898
chr1A	46857196	46967997	46909841	50	-2096.64907
chr1A	46968040	47135688	47049097	50	-2182.74195
chr1A	47135694	47214244	47166342	50	-2011.60000
chr1A	47214919	47281771	47248175	50	-2247.50024
chr1A	47281945	47334253	47306170	50	-1927.80166
chr1A	47334522	47411446	47367227	50	-1888.55687
chr1A	47419201	47480898	47450956	50	-2206.61012
chr1A	47480936	47570388	47533327	50	-1920.52402
chr1A	47570414	47641697	47603293	50	-1883.77552
chr1A	47641734	47696614	47674854	50	-2044.46482
chr1A	47697072	47774643	47741590	50	-1712.03061
chr1A	47775829	47824763	47801245	50	-1886.91275
chr1A	47825807	47883254	47851889	50	-2173.44019
chr1A	47883363	47919458	47897280	50	-2202.54351
chr1A	47921718	47982267	47948962	50	-1954.69031
chr1A	47982489	48094752	48038021	50	-1877.50438
chr1A	48101813	48177708	48134304	50	-1917.81350
chr1A	48178004	48361184	48235264	50	-1838.68390
chr1A	48361439	48457810	48425359	50	-1904.36507
chr1A	48457909	48571480	48512240	50	-1774.55261
chr1A	48571621	48736357	48641756	50	-1727.59074
chr1A	48736735	48861377	48791467	50	-1820.60708
chr1A	48861725	48933446	48887808	50	-1582.02986
chr1A	48938249	49198434	49041992	50	-1242.41059
chr1A	49199724	49606167	49398717	50	-1236.43710
chr1A	49606349	49848131	49737747	50	-1295.33907
chr1A	49852247	50001855	49929378	50	-1444.52916
chr1A	50005989	50156127	50091045	50	-1519.57611
chr1A	50161567	50262911	50218972	50	-1655.02603
chr1A	50264489	50450584	50354734	50	-1636.53260
