scaffold	start	end	mid	sites	lnL
chr7	28	238952	82767	250	-14663.68656
chr7	239024	249246	242146	250	-19062.44099
chr7	249248	386279	283765	250	-16232.08906
chr7	386295	891462	658676	250	-14475.07159
chr7	891498	1117722	1012943	250	-15501.97916
chr7	1117724	1331139	1200781	250	-16069.11189
chr7	1331589	1540467	1423026	250	-15587.04860
chr7	1540482	1649560	1598843	250	-16453.20664
chr7	1649564	1787300	1714776	250	-16748.58050
chr7	1787322	2052805	1908464	250	-18067.33251
chr7	2067142	2305875	2187357	250	-17138.79786
chr7	2305994	2539141	2427031	250	-15986.89145
chr7	2540283	2788275	2676901	250	-15768.44746
chr7	2789624	3089752	2955404	250	-15859.20763
chr7	3089878	3296241	3194045	250	-16029.65666
chr7	3296274	3478490	3375260	250	-15687.23279
chr7	3478495	3604141	3534592	250	-13863.09602
chr7	3604193	3772580	3686586	250	-15576.20305
chr7	3772676	3982710	3901281	250	-14183.90974
chr7	3982713	4089530	4001654	250	-16352.86087
chr7	4089535	4228966	4186537	250	-14871.94994
chr7	4229166	4795016	4427765	250	-14888.03637
chr7	4795274	5364875	5154109	250	-16564.08040
chr7	5364885	5865648	5531784	250	-15452.28682
chr7	5865687	6361028	6162947	250	-14821.09019
chr7	6361059	6630408	6516108	250	-17088.16252
chr7	6630739	6821056	6717270	250	-15909.83174
chr7	6821059	7058270	6976724	250	-14755.88753
chr7	7058352	7179244	7119325	250	-14756.20535
chr7	7179816	7494879	7284075	250	-13996.16661
chr7	7495675	7708490	7667316	250	-16390.58391
chr7	7708510	7844223	7741148	250	-17435.00994
chr7	7844432	7989567	7964246	250	-14246.90598
chr7	7989577	8267913	8120048	250	-15523.38855
chr7	8267914	8556947	8418986	250	-16460.05346
chr7	8556953	8821701	8678989	250	-16200.86662
chr7	8821738	8975719	8905376	250	-16191.38911
chr7	8975859	9040757	9006902	250	-15574.06376
chr7	9040835	9209013	9128404	250	-13811.01843
chr7	9209040	9464280	9316591	250	-15328.94956
chr7	9464317	9677505	9606311	250	-13413.69992
chr7	9677506	9951473	9799724	250	-16263.59356
chr7	9951619	10144826	10039242	250	-17097.65343
chr7	10144851	10415074	10269618	250	-15409.28861
chr7	10415177	10559559	10486885	250	-16084.36563
chr7	10559572	10649626	10606608	250	-14610.23668
chr7	10651156	10853983	10735772	250	-15529.58160
chr7	10855771	11114141	11039987	250	-16334.69733
chr7	11114731	11237514	11162041	250	-14866.50924
chr7	11237515	11669512	11485048	250	-13591.01892
chr7	11670327	11926072	11813074	250	-14378.45337
chr7	11926123	12160569	12051511	250	-14625.77516
chr7	12161052	12545023	12297655	250	-15108.88666
chr7	12545038	12951432	12717285	250	-17094.12133
chr7	12951445	13279724	13106442	250	-15282.13039
chr7	13279767	13897675	13581525	250	-16905.69316
chr7	13902195	14262742	14143531	250	-16937.89887
chr7	14263676	14660119	14467956	250	-15450.39767
chr7	14660364	15003418	14815768	250	-16080.89725
chr7	15003671	15277105	15141612	250	-16665.01334
chr7	15278274	15377649	15324204	250	-15653.45577
chr7	15377654	15791440	15571102	250	-16925.52595
chr7	15797450	16059258	15929730	250	-15616.93847
chr7	16061199	16435882	16262249	250	-16391.05498
chr7	16439586	16844084	16673549	250	-15966.07238
chr7	16851180	17377502	17132317	250	-15084.58537
chr7	17378699	17700876	17507851	250	-14520.59141
chr7	17700883	18604486	18167180	250	-16880.95089
chr7	18608160	19560236	19123220	250	-15125.27491
chr7	19561903	20315555	19992660	250	-16284.62165
chr7	20315623	20535846	20478398	250	-15273.37040
chr7	20535868	20605476	20564918	250	-14641.21101
chr7	20605599	20662358	20636646	250	-15694.52894
chr7	20662557	20700137	20682553	250	-15018.59831
chr7	20700153	20754040	20724209	250	-15085.06501
chr7	20754098	20800660	20776261	250	-15602.23534
chr7	20800715	20828424	20817157	250	-14828.75856
chr7	20828425	20871388	20848140	250	-15659.75679
chr7	20871740	20920211	20893225	250	-15128.05726
chr7	20920655	20975790	20949430	250	-13366.97900
chr7	20976486	21035890	21009556	250	-14409.90493
chr7	21035934	21069100	21052727	250	-15698.05980
chr7	21069101	21110661	21088248	250	-15685.43496
chr7	21112026	21164530	21142433	250	-13592.74759
chr7	21164531	21203271	21181454	250	-15275.35709
chr7	21203278	21291036	21265262	250	-15240.13392
chr7	21291037	21356755	21320233	250	-14972.93212
chr7	21357077	21462334	21401697	250	-15187.82959
chr7	21465081	21841332	21651589	250	-13950.15621
chr7	21842636	22079041	21995982	250	-14333.00760
chr7	22079066	22192032	22134548	250	-15646.86027
chr7	22193481	22280894	22233751	250	-13937.28289
chr7	22280896	22573999	22455608	250	-15923.27043
chr7	22574257	22828122	22678693	250	-14164.44668
chr7	22828132	23447926	23123322	250	-14086.92700
chr7	23448007	24064188	23835089	250	-15378.18756
chr7	24064219	24227508	24142514	250	-14530.67888
chr7	24227540	24546568	24408499	250	-15920.23657
chr7	24546814	24844961	24733548	250	-15928.13206
chr7	24847319	24951740	24897763	250	-14206.47263
chr7	24951741	25109240	25022581	250	-14784.17416
